%% ---- Manua Loa observations 1959-2009 & IPCC projections for A1B scenario with BERN model ---- %%
Year	CO2(ppm)
1959	315.98
1960	316.91
1961	317.64
1962	318.45
1963	318.99
1964	319.62
1965	320.04
1966	321.38
1967	322.16
1968	323.04
1969	324.62
1970	325.68
1971	326.32
1972	327.45
1973	329.68
1974	330.17
1975	331.08
1976	332.05
1977	333.78
1978	335.41
1979	336.78
1980	338.68
1981	340.11
1982	341.22
1983	342.84
1984	344.41
1985	345.87
1986	347.19
1987	348.98
1988	351.45
1989	352.9
1990	354.16
1991	355.48
1992	356.27
1993	356.95
1994	358.64
1995	360.62
1996	362.36
1997	363.47
1998	366.5
1999	368.14
2000	369.4
2001	371.07
2002	373.17
2003	375.78
2004	377.52
2005	379.76
2006	381.85
2007	383.71
2008	385.57
2009	387.35
2010	388
2020	418
2030	447
2040	483
2050	522
2060	563
2070	601
2080	639
2090	674
2100	703
