Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1976	3.0	10.6	5.3	0.3
2	1	1976	4.1	11.8	2.7	0.5
3	1	1976	6.1	7.2	0.2	0.9
4	1	1976	1.6	6.5	2.6	0.5
5	1	1976	1.7	9.4	3.4	0.2
6	1	1976	6.6	9.5	0.2	0.4
7	1	1976	7.5	9.4	0.1	0.4
8	1	1976	5.8	6.4	0.0	0.4
9	1	1976	5.4	6.2	2.8	0.4
10	1	1976	4.8	11.4	5.8	0.2
11	1	1976	5.6	11.9	0.3	0.4
12	1	1976	8.3	10.2	1.2	0.5
13	1	1976	7.3	8.6	1.5	0.2
14	1	1976	7.9	8.8	0.7	0.4
15	1	1976	3.8	6.8	0.1	0.4
16	1	1976	3.7	7.2	1.1	0.4
17	1	1976	5.3	7.6	0.0	0.5
18	1	1976	-1.4	4.7	1.3	0.3
19	1	1976	-1.3	7.5	2.2	0.3
20	1	1976	2.8	10.2	4.6	0.4
21	1	1976	4.6	8.6	2.9	0.8
22	1	1976	5.2	9.8	1.0	0.5
23	1	1976	7.6	7.6	2.8	0.7
24	1	1976	-0.4	3.1	4.8	0.2
25	1	1976	-0.7	2.9	4.2	0.2
26	1	1976	-2.8	0.8	10.2	0.2
27	1	1976	-3.2	1.2	0.3	0.3
28	1	1976	-6.2	-0.1	0.0	0.2
29	1	1976	-7.2	-0.4	0.0	0.6
30	1	1976	-9.6	-3.5	0.0	0.3
31	1	1976	-9.2	-3.6	0.0	0.4
1	2	1976	-7.8	-2.4	0.0	0.3
2	2	1976	-7.3	-2.6	0.0	0.2
3	2	1976	-7.3	-0.6	0.0	0.3
4	2	1976	-4.5	-0.9	0.0	0.2
5	2	1976	-4.4	2.7	0.0	0.3
6	2	1976	-2.1	5.2	0.0	0.5
7	2	1976	-2.9	2.1	0.0	0.4
8	2	1976	-0.3	4.1	0.3	0.3
9	2	1976	1.7	5.0	2.3	0.3
10	2	1976	3.4	6.4	3.2	0.2
11	2	1976	1.9	5.3	2.7	0.5
12	2	1976	0.9	6.9	16.4	0.4
13	2	1976	2.2	5.5	5.7	0.2
14	2	1976	0.3	0.8	0.0	0.7
15	2	1976	-2.0	-0.6	0.0	0.7
16	2	1976	-2.4	1.8	0.1	0.5
17	2	1976	-0.4	3.4	0.1	0.3
18	2	1976	-0.6	10.6	0.0	0.9
19	2	1976	0.7	12.6	0.2	1.1
20	2	1976	5.6	13.4	0.0	1.1
21	2	1976	6.8	12.8	0.0	1.0
22	2	1976	7.2	12.6	0.0	1.2
23	2	1976	6.3	12.5	0.0	0.9
24	2	1976	6.6	10.4	0.7	0.4
25	2	1976	7.3	10.1	0.0	0.6
26	2	1976	7.1	9.2	0.0	0.8
27	2	1976	3.6	10.1	0.0	0.8
28	2	1976	3.3	14.0	0.0	1.2
29	2	1976	4.8	13.3	3.4	1.3
1	3	1976	2.6	9.4	0.2	1.1
2	3	1976	-1.3	11.0	0.0	1.1
3	3	1976	0.5	11.6	0.0	1.5
4	3	1976	0.1	12.5	0.0	1.9
5	3	1976	-1.4	6.2	0.0	1.4
6	3	1976	-4.1	3.0	0.0	1.1
7	3	1976	-3.4	2.1	0.0	0.9
8	3	1976	-5.7	-0.1	0.0	0.8
9	3	1976	-5.7	2.9	0.0	0.7
10	3	1976	-5.6	4.6	0.0	1.0
11	3	1976	-1.3	7.6	0.0	1.8
12	3	1976	1.5	7.2	6.5	1.4
13	3	1976	2.5	9.2	0.8	1.1
14	3	1976	3.5	11.0	1.1	1.1
15	3	1976	3.9	9.4	0.4	0.9
16	3	1976	4.0	10.0	0.1	1.1
17	3	1976	5.3	11.2	4.4	1.1
18	3	1976	5.8	10.3	0.1	0.9
19	3	1976	0.7	4.5	0.0	1.0
20	3	1976	-2.3	8.2	0.0	1.8
21	3	1976	-2.2	8.5	0.0	2.0
22	3	1976	-3.7	4.4	0.0	1.6
23	3	1976	-3.3	8.2	0.0	1.7
24	3	1976	-2.8	8.4	4.6	1.6
25	3	1976	-0.5	10.5	0.8	0.6
26	3	1976	5.4	10.2	9.0	0.7
27	3	1976	2.0	8.6	0.4	0.9
28	3	1976	4.9	9.7	0.0	1.1
29	3	1976	3.7	12.6	0.1	1.8
30	3	1976	5.7	12.7	0.0	1.7
31	3	1976	5.3	13.2	0.0	1.4
1	4	1976	6.0	18.4	0.0	2.3
2	4	1976	6.6	11.8	3.4	1.4
3	4	1976	4.6	9.7	0.1	1.9
4	4	1976	4.2	9.1	0.3	1.3
5	4	1976	2.5	13.9	0.0	2.2
6	4	1976	5.7	11.8	0.0	1.0
7	4	1976	5.2	9.4	0.8	1.4
8	4	1976	2.5	9.2	0.0	1.8
9	4	1976	-1.3	11.1	0.0	2.2
10	4	1976	0.9	13.7	0.0	2.8
11	4	1976	3.8	16.1	0.0	3.3
12	4	1976	4.3	15.7	0.0	3.0
13	4	1976	3.5	16.0	5.2	2.8
14	4	1976	6.3	9.4	0.2	1.0
15	4	1976	5.6	17.3	0.1	2.6
16	4	1976	6.2	12.8	0.0	1.5
17	4	1976	4.5	15.6	0.0	2.2
18	4	1976	5.2	19.6	0.0	3.2
19	4	1976	8.0	21.6	0.0	3.5
20	4	1976	8.8	20.1	0.0	3.9
21	4	1976	5.5	10.3	0.0	1.6
22	4	1976	3.6	11.7	0.0	2.9
23	4	1976	0.4	8.8	0.0	2.2
24	4	1976	0.8	9.3	0.0	2.0
25	4	1976	4.0	12.0	0.0	2.3
26	4	1976	3.7	15.9	0.0	3.4
