	Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
0	1	1	2041	2.5	8.5	0.0	0.4
1	2	1	2041	0.2	6.3	0.0	0.2
2	3	1	2041	-1.4	7.9	0.0	0.6
3	4	1	2041	-3.0	3.9	0.0	0.5
4	5	1	2041	-10.6	6.1	0.0	1.1
5	6	1	2041	3.9	8.6	0.0	0.4
6	7	1	2041	2.1	9.9	0.0	0.5
7	8	1	2041	2.2	6.1	0.0	0.4
8	9	1	2041	5.5	7.3	0.3	0.3
9	10	1	2041	4.2	7.8	2.6	0.4
10	11	1	2041	5.3	7.1	0.4	0.3
11	12	1	2041	4.8	8.4	22.1	0.4
12	13	1	2041	4.0	7.7	0.0	0.3
13	14	1	2041	1.5	5.5	0.0	0.2
14	15	1	2041	4.8	7.0	0.1	0.4
15	16	1	2041	1.1	5.2	2.3	0.4
16	17	1	2041	-0.7	0.5	3.0	0.2
17	18	1	2041	6.6	11.3	5.6	0.5
18	19	1	2041	6.4	12.6	0.1	0.7
19	20	1	2041	5.5	10.0	8.1	0.5
20	21	1	2041	6.5	9.5	7.1	0.4
21	22	1	2041	2.7	7.3	0.0	0.5
22	23	1	2041	0.4	7.0	0.0	0.5
23	24	1	2041	2.4	7.8	0.4	0.5
24	25	1	2041	2.3	9.6	6.4	0.8
25	26	1	2041	3.7	7.5	2.8	0.5
26	27	1	2041	3.2	6.2	17.1	0.3
27	28	1	2041	4.3	9.8	2.9	0.6
28	29	1	2041	3.2	6.0	0.0	0.3
29	30	1	2041	6.1	10.6	0.2	0.6
30	31	1	2041	5.6	10.3	10.4	0.5
31	1	2	2041	4.7	9.9	16.1	0.5
32	2	2	2041	1.2	12.2	0.0	1.1
33	3	2	2041	2.8	7.5	4.7	0.6
34	4	2	2041	4.8	7.1	10.7	0.4
35	5	2	2041	2.8	8.9	4.3	0.6
36	6	2	2041	4.7	9.8	4.5	0.6
37	7	2	2041	3.9	8.7	1.4	0.6
38	8	2	2041	3.9	8.5	13.1	0.6
39	9	2	2041	0.9	5.2	1.2	0.4
40	10	2	2041	-0.7	2.3	0.0	0.4
41	11	2	2041	8.0	13.0	0.0	0.7
42	12	2	2041	4.5	14.7	0.0	1.2
43	13	2	2041	7.9	11.1	1.3	0.6
44	14	2	2041	6.5	11.3	0.3	0.7
45	15	2	2041	2.4	8.1	1.7	0.6
46	16	2	2041	1.9	9.4	2.3	0.9
47	17	2	2041	-0.4	4.5	0.0	0.6
48	18	2	2041	-1.7	4.3	0.0	0.7
49	19	2	2041	7.5	12.1	0.6	0.8
50	20	2	2041	8.5	10.2	5.3	0.6
51	21	2	2041	1.3	7.7	3.3	0.8
52	22	2	2041	2.3	6.5	5.5	0.6
53	23	2	2041	5.4	10.8	0.6	0.7
54	24	2	2041	6.4	10.9	4.1	0.8
