Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1991	1.9	10.04	5.86	0.9878372777219901
2	1	1991	5.25	11.28	2.42	0.7624499884634459
3	1	1991	2.7	6.9	2.27	0.6889074856016708
4	1	1991	0.62	5.68	0.41	0.6860561064925259
5	1	1991	1.24	7.93	5.31	0.8346165583425733
6	1	1991	3.76	7.09	4.22	0.622226323178819
7	1	1991	2.61	6.86	0.96	0.7016510506205181
8	1	1991	2.65	10.14	6.07	0.8288440867594811
9	1	1991	1.37	10.88	6.29	0.9975114242734602
10	1	1991	2.49	11.05	3.35	1.058476417107899
11	1	1991	2.65	6.61	2.24	0.479994390249631
12	1	1991	0.03	3.37	0.33	0.5830018130152412
13	1	1991	-2.49	4.27	0.16	0.8344764457173937
14	1	1991	-1.33	4.92	0.15	0.8303302862142974
15	1	1991	-2.33	4.05	0.02	0.8202974592574029
16	1	1991	-2.51	5.08	0.04	0.9391373621134531
17	1	1991	0.84	7.06	1.17	0.7385455076713912
18	1	1991	3.87	8.12	5.35	0.8263303386254178
19	1	1991	1.77	7.08	1.86	0.9072975321313177
20	1	1991	2.68	8.73	0.26	0.7509113180410243
21	1	1991	0.37	6.6	0.1	0.9511775453612374
22	1	1991	0.35	6.15	0.13	0.7219269127414378
23	1	1991	0.13	3.86	0.21	0.45335738717386487
24	1	1991	-2.09	4.01	0.14	0.6020726920388022
25	1	1991	-2.02	2.96	0.09	0.618091065002641
26	1	1991	-1.36	3.22	0.26	0.5307800741376645
27	1	1991	-1.35	3.47	0.32	0.4581145437620414
28	1	1991	-1.81	5.01	0.26	0.7851812358138983
29	1	1991	-1.81	2.05	0.18	0.4373954823142886
30	1	1991	-2.12	1.15	0.08	0.39427549158584396
31	1	1991	-2.16	3.26	0.46	0.5289123130899307
1	2	1991	-0.85	4.76	1.4	0.614968286039039
2	2	1991	-3.38	3.62	0.22	0.7226101150751384
3	2	1991	-3.96	2.78	0.01	0.6733865150455429
4	2	1991	-3.42	2.32	0.0	0.8903673528435049
5	2	1991	-3.23	2.33	0.13	0.8237093424274096
6	2	1991	-6.69	-1.02	0.31	0.7866277097905074
7	2	1991	-7.8	-3.58	5.05	0.47512392640641976
8	2	1991	-6.6	-2.43	3.76	0.39630826740754155
9	2	1991	-7.92	-2.32	0.95	0.7656839235134314
10	2	1991	-6.52	0.47	1.24	0.8706461240322807
11	2	1991	-3.17	1.12	0.43	0.6631501340370148
12	2	1991	-4.78	0.94	4.88	0.8822398269300684
13	2	1991	-4.56	1.48	0.29	1.0853575151702097
