Day       Month     Year      Tmin(C)        Tmax(C)        Prcp(mm)       Et0(mm)        
1         1         1982      -21.11         3.33           0.00           1.59           
2         1         1982      -10.00         0.56           0.00           0.86           
3         1         1982      -11.67         -2.22          0.00           0.72           
4         1         1982      -12.22         7.22           0.00           1.71           
5         1         1982      -14.44         -1.11          0.00           0.92           
6         1         1982      -22.22         -13.33         0.00           0.37           
7         1         1982      -22.78         -0.55          0.00           1.23           
8         1         1982      -20.00         7.22           0.00           2.03           
9         1         1982      -19.45         0.56           0.00           1.26           
10        1         1982      -23.89         -16.67         0.00           0.28           
11        1         1982      -22.78         -6.67          0.00           0.76           
12        1         1982      -24.45         -12.22         0.00           0.48           
13        1         1982      -24.45         -0.55          0.00           1.29           
14        1         1982      -1.67          9.45           0.00           1.38           
15        1         1982      -18.89         2.78           0.00           1.49           
16        1         1982      -20.56         -6.67          0.00           0.72           
17        1         1982      -11.67         16.67          0.00           3.19           
18        1         1982      -7.78          10.00          0.00           1.88           
19        1         1982      -10.55         -1.67          0.00           0.76           
20        1         1982      -10.00         -1.67          0.00           0.73           
21        1         1982      -13.89         -8.89          0.00           0.38           
22        1         1982      -20.56         -12.78         0.00           0.38           
23        1         1982      -23.33         -3.89          0.00           1.01           
24        1         1982      -17.78         11.11          0.00           2.61           
25        1         1982      -5.00          7.78           0.00           1.48           
26        1         1982      -6.67          18.89          0.00           3.34           
27        1         1982      -6.11          11.11          0.00           2.01           
28        1         1982      -10.00         7.22           0.00           1.71           
29        1         1982      -9.44          6.11           0.00           1.55           
30        1         1982      -12.22         8.34           0.00           1.98           
31        1         1982      -10.55         9.45           0.00           2.06           
1         2         1982      -8.33          -2.22          0.00           0.56           
2         2         1982      -12.78         -4.44          0.00           0.66           
3         2         1982      -20.00         -10.55         0.00           0.50           
4         2         1982      -22.78         -16.11         0.00           0.31           
5         2         1982      -27.22         -16.11         0.00           0.37           
6         2         1982      -27.22         -16.11         0.00           0.35           
7         2         1982      -27.22         -16.11         0.00           0.33           
8         2         1982      -27.22         -16.11         0.00           0.31           
9         2         1982      -27.22         -16.11         0.00           0.29           
10        2         1982      -27.22         -16.11         0.00           0.28           
11        2         1982      -27.22         -1.08          0.00           1.21           
12        2         1982      -15.20         7.16           0.00           2.09           
13        2         1982      -8.62          12.90          0.00           2.65           
14        2         1982      -2.27          15.48          0.00           2.65           
15        2         1982      -0.02          15.45          0.00           2.53           
16        2         1982      -3.39          15.61          0.00           2.82           
17        2         1982      -1.14          14.73          0.00           2.45           
18        2         1982      -2.22          15.89          0.00           2.84           
19        2         1982      -1.14          18.59          0.00           3.23           
20        2         1982      1.97           18.67          0.00           3.07           
21        2         1982      1.41           22.70          0.00           3.92           
22        2         1982      -0.38          24.73          0.00           4.51           
23        2         1982      -4.05          1.09           0.00           0.79           
24        2         1982      -6.77          3.57           0.00           1.43           
25        2         1982      -8.07          0.67           0.00           1.10           
26        2         1982      -8.55          7.70           0.00           2.04           
27        2         1982      -5.22          13.75          0.00           2.79           
28        2         1982      -1.31          12.90          0.00           2.42           
1         3         1982      -3.56          19.76          0.00           3.75           
2         3         1982      -6.83          10.70          0.00           2.15           
3         3         1982      -7.94          -4.80          0.00           0.50           
4         3         1982      -9.63          -4.30          0.00           0.73           
5         3         1982      -14.31         -5.43          0.00           0.95           
6         3         1982      -12.22         0.82           0.00           1.48           
7         3         1982      -9.44          4.88           0.00           1.85           
8         3         1982      -7.19          1.44           0.00           1.34           
9         3         1982      -6.69          15.32          0.00           3.36           
10        3         1982      -0.80          19.65          0.00           3.79           
11        3         1982      -4.66          16.23          0.00           3.36           
12        3         1982      -2.83          11.23          0.00           2.35           
13        3         1982      -3.37          15.54          0.00           3.31           
14        3         1982      1.45           8.00           0.00           1.38           
15        3         1982      -0.28          4.99           0.00           0.86           
16        3         1982      0.71           16.70          0.00           3.28           
17        3         1982      2.62           17.34          0.00           3.11           
18        3         1982      0.06           4.69           0.00           0.89           
19        3         1982      0.73           12.38          0.00           2.26           
20        3         1982      -6.05          3.44           0.00           1.64           
21        3         1982      -6.86          6.70           0.00           2.20           
22        3         1982      -8.53          12.76          0.00           3.22           
23        3         1982      -3.30          13.62          0.00           3.13           
24        3         1982      -5.04          7.63           0.00           1.83           
25        3         1982      -8.22          5.54           0.00           2.17           
26        3         1982      -6.61          11.23          0.00           2.88           
27        3         1982      -0.49          2.90           0.00           0.64           
28        3         1982      0.26           9.61           0.00           2.02           
29        3         1982      3.51           18.89          0.00           3.54           
30        3         1982      2.78           14.45          0.00           2.97           
31        3         1982      -3.89          18.34          0.00           4.31           
1         4         1982      -3.33          25.56          0.00           5.68           
2         4         1982      -2.22          14.45          0.00           2.69           
3         4         1982      -7.22          20.56          0.00           4.84           
4         4         1982      -6.11          10.00          0.00           2.84           
5         4         1982      -8.33          6.67           0.00           2.33           
6         4         1982      -23.89         16.11          0.00           4.36           
7         4         1982      -4.03          4.13           0.00           1.33           
8         4         1982      -6.91          4.18           0.00           1.95           
