Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1986	7.8	16.1	4.3	0.7
2	1	1986	10	15.6	0.5	1.3
3	1	1986	5.6	13.3	0	0.9
4	1	1986	2.2	12.8	0	1.3
5	1	1986	2.8	9.4	3.3	0.5
6	1	1986	2.2	11.7	0	1.3
7	1	1986	0.6	8.9	18.3	0.5
8	1	1986	5	9.4	5.3	0.5
9	1	1986	5	13.3	0	0.6
10	1	1986	2.2	15	0	1.5
11	1	1986	2.8	15.6	0	1.5
12	1	1986	2.2	15.6	0	1.5
13	1	1986	4.4	15	0	1.7
14	1	1986	1.7	16.1	0	1.7
15	1	1986	0.6	15.6	0	1.6
16	1	1986	3.3	13.9	0	0.9
17	1	1986	1.1	14.4	0	1.3
18	1	1986	2.8	16.7	0	1.7
19	1	1986	2.8	17.2	0	1.7
20	1	1986	0.6	15.6	0	1.3
21	1	1986	6.1	10.6	0.5	0.6
22	1	1986	6.7	13.9	0	1.3
23	1	1986	5	12.8	0	0.7
24	1	1986	8.9	17.2	0	1.4
25	1	1986	5	15	0	1.7
26	1	1986	1.7	13.9	0	1.7
27	1	1986	0	15	0	1.7
28	1	1986	2.2	13.3	1.5	0.9
29	1	1986	5	14.4	14.2	0.8
30	1	1986	4.4	12.8	0	1.6
31	1	1986	0.6	11.1	0	1.6
1	2	1986	0.6	10	1.8	0.9
2	2	1986	3.9	11.7	0	1.2
3	2	1986	1.1	7.8	1	0.6
4	2	1986	3.3	11.1	5.1	0.8
5	2	1986	0.6	11.1	0	1.3
6	2	1986	2.2	11.7	0	1.3
7	2	1986	-0.6	10	7.6	0.6
8	2	1986	5.6	10.6	0.5	0.7
9	2	1986	1.1	11.7	0	1.7
10	2	1986	-1.1	12.8	0	1.8
11	2	1986	1.7	8.3	0.5	0.6
12	2	1986	5	10.6	0	1.3
13	2	1986	4.4	12.2	29.7	0.8
14	2	1986	12.2	18.3	5.3	1.1
15	2	1986	10.6	12.8	6.1	0.9
16	2	1986	11.1	16.7	7.1	1
17	2	1986	7.8	13.3	2.8	1.6
18	2	1986	8.3	16.1	0	1.6
19	2	1986	7.2	15	11.2	1.5
20	2	1986	10	13.9	13.2	1.2
21	2	1986	10.6	15.6	1.5	1
22	2	1986	10	16.7	0	1
