Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2000	11.3	27.3	0.0	3.6
2	1	2000	11.3	26.7	0.0	3.7
3	1	2000	8.6	26.7	0.0	3.4
4	1	2000	7.6	27.2	0.0	3.4
5	1	2000	9.1	27.9	0.0	3.4
6	1	2000	7.6	27.2	0.0	3.2
7	1	2000	7.1	27.3	0.0	3.3
8	1	2000	7.9	27.8	0.0	3.7
9	1	2000	10.2	27.7	0.0	3.7
10	1	2000	8.7	28.7	0.0	3.7
11	1	2000	10.3	29.7	0.0	4.4
12	1	2000	12.6	30.0	0.0	4.8
13	1	2000	15.4	30.2	0.0	4.7
14	1	2000	13.2	31.2	0.0	3.1
15	1	2000	14.4	32.1	0.0	4.2
16	1	2000	14.8	32.5	0.0	4.3
17	1	2000	13.4	31.6	0.0	4.3
18	1	2000	10.6	30.8	0.0	4.5
19	1	2000	13.5	31.2	0.0	3.8
20	1	2000	10.7	30.9	0.0	4.1
21	1	2000	13.0	31.6	0.0	4.2
22	1	2000	12.9	35.0	0.0	3.9
23	1	2000	10.3	33.7	0.0	4.6
24	1	2000	10.8	30.9	0.0	4.0
25	1	2000	11.6	30.8	0.0	4.0
26	1	2000	16.6	29.6	0.0	4.4
27	1	2000	13.8	28.9	0.0	4.3
28	1	2000	14.2	29.2	0.0	4.6
29	1	2000	12.0	29.5	0.0	4.4
30	1	2000	10.8	30.2	0.0	3.7
31	1	2000	8.3	30.8	0.0	4.2
1	2	2000	11.8	30.4	0.0	4.3
2	2	2000	12.2	31.6	0.0	5.4
3	2	2000	13.4	31.6	0.0	4.9
4	2	2000	14.9	33.6	0.0	4.9
5	2	2000	15.0	32.0	0.0	5.0
6	2	2000	14.6	33.2	0.0	5.4
7	2	2000	11.0	31.6	0.0	4.3
8	2	2000	15.7	32.4	0.0	4.5
9	2	2000	17.1	32.6	0.0	5.2
10	2	2000	18.4	32.0	0.0	4.5
11	2	2000	17.4	33.8	0.0	5.5
12	2	2000	15.5	32.6	0.0	5.1
13	2	2000	14.7	30.9	0.0	4.5
14	2	2000	16.7	30.8	0.0	4.0
15	2	2000	16.7	29.7	0.0	4.5
16	2	2000	17.5	30.4	0.0	4.7
17	2	2000	17.7	32.2	0.0	4.7
18	2	2000	13.0	32.8	0.0	5.1
19	2	2000	13.9	31.7	0.0	4.6
20	2	2000	18.2	31.7	0.0	5.5
21	2	2000	17.5	32.2	0.0	5.8
22	2	2000	18.0	32.1	0.0	5.4
23	2	2000	18.4	28.2	0.0	4.2
24	2	2000	18.0	30.0	0.0	4.9
25	2	2000	19.0	29.7	0.0	4.2
26	2	2000	16.8	29.4	55.6	4.1
27	2	2000	15.5	26.2	2.2	3.3
28	2	2000	14.5	28.9	0.0	4.2
29	2	2000	11.3	30.2	0.0	4.6
1	3	2000	12.7	31.2	0.0	4.9
2	3	2000	15.1	33.4	0.0	5.2
3	3	2000	15.7	34.8	0.0	5.7
4	3	2000	15.2	34.8	0.0	5.6
5	3	2000	15.9	35.7	0.0	5.8
6	3	2000	14.6	35.2	0.0	5.9
7	3	2000	16.4	34.2	0.0	6.5
8	3	2000	15.8	34.2	0.0	5.5
9	3	2000	14.2	33.4	0.0	5.3
10	3	2000	12.4	33.5	0.0	5.6
11	3	2000	13.2	34.3	0.0	5.2
12	3	2000	13.7	35.4	0.0	5.6
13	3	2000	13.9	36.2	0.0	5.9
14	3	2000	16.4	35.7	0.0	5.9
15	3	2000	15.1	34.2	0.0	5.6
16	3	2000	13.8	34.7	0.0	5.3
17	3	2000	15.4	34.8	0.0	5.6
18	3	2000	17.3	35.8	0.0	5.7
19	3	2000	17.0	36.3	0.0	5.9
20	3	2000	16.3	35.9	0.0	5.6
21	3	2000	17.0	36.3	0.0	5.4
22	3	2000	18.8	36.0	0.0	6.7
23	3	2000	16.0	35.4	0.0	7.4
24	3	2000	17.4	35.8	0.0	6.1
25	3	2000	16.2	35.2	0.0	5.8
26	3	2000	17.8	35.7	0.0	6.2
27	3	2000	20.6	35.2	0.0	6.0
28	3	2000	19.5	34.7	0.0	6.0
29	3	2000	17.8	35.4	0.0	5.8
30	3	2000	14.5	35.7	0.0	5.9
31	3	2000	14.4	37.4	0.0	6.0
1	4	2000	17.8	38.0	0.0	6.3
2	4	2000	19.6	36.0	0.0	6.7
3	4	2000	19.2	37.2	0.0	7.0
4	4	2000	20.1	38.2	0.0	7.5
5	4	2000	20.1	38.8	0.0	7.0
6	4	2000	19.1	39.2	0.0	7.2
7	4	2000	20.9	39.0	0.0	7.1
8	4	2000	20.2	38.2	0.0	6.8
9	4	2000	21.4	40.0	0.0	6.1
10	4	2000	19.4	40.2	0.0	6.9
11	4	2000	20.3	40.4	0.0	6.9
12	4	2000	22.6	40.2	0.0	6.4
13	4	2000	23.2	40.0	0.0	6.8
14	4	2000	20.3	40.0	0.0	7.0
15	4	2000	22.9	40.3	0.0	7.2
16	4	2000	23.1	39.0	0.0	7.0
17	4	2000	21.0	40.2	0.0	7.4
18	4	2000	19.0	38.4	0.0	6.9
19	4	2000	20.0	37.2	0.0	7.6
20	4	2000	17.9	36.0	0.0	5.1
21	4	2000	20.0	38.2	0.0	6.7
22	4	2000	21.6	39.4	0.0	6.8
23	4	2000	24.6	40.2	0.0	7.3
24	4	2000	20.0	38.4	0.0	6.7
25	4	2000	20.3	40.4	0.0	7.5
26	4	2000	20.7	39.2	0.0	7.8
27	4	2000	20.2	41.6	0.0	7.9
28	4	2000	19.7	42.1	0.0	8.2
29	4	2000	20.8	41.8	0.0	7.9
30	4	2000	20.1	41.8	0.0	7.5
1	5	2000	20.4	41.7	0.0	7.1
2	5	2000	21.6	41.2	0.0	7.4
3	5	2000	25.6	42.1	0.0	6.9
4	5	2000	22.9	40.8	0.0	8.2
5	5	2000	22.3	39.1	0.0	7.8
6	5	2000	16.0	40.1	86.3	9.1
7	5	2000	19.6	29.8	8.6	3.7
8	5	2000	17.9	34.7	5.4	6.6
9	5	2000	19.6	31.8	0.0	4.7
10	5	2000	20.6	35.3	0.0	5.6
11	5	2000	22.5	37.0	0.0	6.2
12	5	2000	22.2	37.2	0.3	6.7
13	5	2000	20.8	37.2	0.0	6.6
14	5	2000	20.9	37.3	0.0	7.1
15	5	2000	22.4	37.3	0.0	7.1
16	5	2000	23.4	37.7	0.7	7.1
17	5	2000	21.9	36.4	3.1	7.3
18	5	2000	21.8	36.4	0.0	7.6
19	5	2000	22.2	35.4	0.0	7.4
20	5	2000	21.8	35.8	0.0	7.0
21	5	2000	24.2	35.8	0.0	6.6
22	5	2000	24.3	36.4	0.0	6.5
23	5	2000	24.1	33.7	0.0	4.5
24	5	2000	23.2	36.8	0.0	6.3
25	5	2000	20.3	36.2	15.8	7.5
26	5	2000	20.2	35.2	2.4	6.4
27	5	2000	20.9	33.8	0.0	5.7
28	5	2000	21.8	36.1	0.0	6.9
29	5	2000	23.2	36.2	0.0	7.1
30	5	2000	23.7	36.6	0.0	7.1
31	5	2000	22.3	35.8	0.0	7.1
1	6	2000	19.7	34.8	5.4	5.6
2	6	2000	22.1	33.6	0.0	5.9
3	6	2000	19.8	35.7	7.2	6.3
4	6	2000	20.9	33.4	0.0	6.0
5	6	2000	22.8	31.7	2.8	3.7
6	6	2000	19.3	28.6	29.0	3.1
7	6	2000	20.3	27.4	10.1	3.0
8	6	2000	20.6	29.9	3.8	4.7
9	6	2000	20.2	30.8	0.4	4.9
10	6	2000	21.2	32.0	0.0	5.6
11	6	2000	21.4	32.6	0.0	5.5
12	6	2000	19.7	30.3	27.1	4.1
13	6	2000	20.0	28.1	2.3	3.1
14	6	2000	19.6	33.2	0.0	6.4
15	6	2000	20.2	33.8	0.0	6.8
16	6	2000	20.4	33.2	0.3	5.9
17	6	2000	21.0	32.7	0.3	5.4
18	6	2000	20.8	32.6	8.8	4.4
19	6	2000	19.6	29.9	6.1	3.4
20	6	2000	17.7	27.8	29.1	3.1
21	6	2000	20.3	27.8	3.1	2.7
22	6	2000	21.8	30.4	0.2	3.4
23	6	2000	19.7	31.8	14.3	4.4
24	6	2000	21.4	31.8	0.0	4.2
25	6	2000	20.5	33.3	0.0	5.8
26	6	2000	21.6	34.1	0.0	6.3
27	6	2000	21.2	33.2	0.2	4.9
28	6	2000	19.7	32.8	1.6	5.8
29	6	2000	18.9	26.4	8.7	2.8
30	6	2000	20.0	24.8	80.0	2.3
1	7	2000	17.8	24.8	148.6	2.9
2	7	2000	20.1	29.0	0.0	4.8
3	7	2000	18.1	28.8	16.6	4.2
4	7	2000	19.8	28.1	0.0	3.6
5	7	2000	21.2	30.3	0.0	4.6
6	7	2000	20.9	29.8	0.2	3.5
7	7	2000	20.2	30.9	5.3	4.0
8	7	2000	20.4	29.7	0.7	3.7
9	7	2000	20.0	27.8	0.0	3.6
10	7	2000	19.8	29.2	1.5	4.5
11	7	2000	19.8	29.6	1.0	4.3
12	7	2000	19.2	23.8	38.4	2.6
13	7	2000	19.8	24.8	4.0	2.6
14	7	2000	20.3	26.9	0.0	3.2
15	7	2000	19.6	30.2	0.0	5.5
16	7	2000	19.7	30.0	0.0	5.4
17	7	2000	20.1	28.9	0.0	4.5
18	7	2000	19.7	27.4	0.0	3.3
19	7	2000	19.7	25.2	0.3	2.7
20	7	2000	19.0	27.4	0.0	3.3
21	7	2000	18.3	31.3	0.0	6.0
22	7	2000	18.2	30.2	0.0	5.6
23	7	2000	18.7	31.4	0.0	5.6
24	7	2000	19.6	31.8	0.0	5.8
25	7	2000	19.2	31.4	0.0	5.0
26	7	2000	20.5	30.0	0.0	4.3
27	7	2000	19.4	29.8	2.4	3.4
