Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1991	1.41	9.85	6.16	0.9268684041583269
2	1	1991	5.25	11.03	1.27	0.8210615433474675
3	1	1991	2.69	6.25	1.84	0.6178925892049754
4	1	1991	0.63	4.66	0.06	0.5168923857292339
5	1	1991	1.05	6.98	5.44	0.7463386005245767
6	1	1991	1.63	6.6	1.55	0.6566979851746819
7	1	1991	1.3	6.35	2.67	0.7002607120114583
8	1	1991	1.42	9.48	8.1	0.9028887897081992
9	1	1991	0.63	10.08	8.88	0.941715125387516
10	1	1991	2.05	9.56	2.71	0.9419587390249682
11	1	1991	2.27	5.02	2.18	0.3711784690194266
12	1	1991	0.12	4.49	0.42	0.43654978555548973
13	1	1991	-1.15	3.28	0.2	0.6321120493573056
14	1	1991	-0.56	5.13	0.08	0.7610830909317874
15	1	1991	-1.54	4.6	0.03	0.8050513516610492
16	1	1991	-2.38	4.58	0.07	0.8479287490963077
17	1	1991	0.4	6.2	0.74	0.6751900533724909
18	1	1991	3.95	7.98	6.64	0.792255907860945
19	1	1991	2.28	6.65	1.43	0.8002001222473436
20	1	1991	2.65	8.91	0.3	0.7300958683061806
21	1	1991	1.68	6.34	0.13	0.7962549767425289
22	1	1991	0.02	6.04	0.03	0.8331235221829998
23	1	1991	-1.98	3.34	0.16	0.6274048562837319
24	1	1991	-2.26	3.42	0.11	0.7428081935023059
25	1	1991	-0.51	3.01	0.06	0.43062033825339874
26	1	1991	-0.85	1.82	0.07	0.2687961650762676
27	1	1991	-0.88	2.26	0.07	0.4286068453387314
28	1	1991	-1.42	5.08	0.4	0.6345349500806415
29	1	1991	-1.09	2.15	0.23	0.3143116755320462
30	1	1991	-1.32	1.01	0.19	0.25072641407382457
31	1	1991	-1.35	3.17	0.3	0.37834808605846765
1	2	1991	-0.04	4.1	1.83	0.5948932889839404
2	2	1991	-0.95	3.17	0.47	0.4666351703569733
3	2	1991	-1.74	2.47	0.04	0.4395100233869464
4	2	1991	-1.95	1.69	0.01	0.4336958358740969
5	2	1991	-2.41	2.39	0.27	0.6394577662856167
6	2	1991	-3.74	0.14	0.62	0.38428869553071454
7	2	1991	-5.89	-0.78	2.89	0.4138088803050216
8	2	1991	-2.94	-0.65	1.79	0.27338357878536057
9	2	1991	-5.25	-1.66	0.6	0.39158349555032257
10	2	1991	-4.44	1.3	2.64	0.6161623633619135
11	2	1991	-1.89	2.11	0.77	0.5242526188817618
12	2	1991	-3.35	2.48	1.57	0.7694210031077261
13	2	1991	-1.74	3.29	0.2	0.9164334750493401
14	2	1991	-4.25	2.95	0.24	1.0303801942441324
15	2	1991	-0.49	4.05	5.04	0.5231001122498707
16	2	1991	-0.58	5.12	0.11	1.1424691824243323
17	2	1991	-0.63	4.67	0.37	0.7309864543632174
18	2	1991	-1.35	4.49	0.19	0.7152775525380667
19	2	1991	-1.8	4.35	0.07	0.9497697564294216
20	2	1991	-1.14	5.5	0.71	0.8043804973468294
21	2	1991	2.51	4.98	3.3	0.43651057944417915
22	2	1991	0.02	8.53	4.48	1.3872754322519543
23	2	1991	8.58	12.7	0.54	0.9797475164984815
24	2	1991	5.6	11.22	0.55	1.0300039280837274
25	2	1991	2.29	11.54	0.19	1.9482744688286662
26	2	1991	4.79	12.65	0.29	1.111019269825837
27	2	1991	3.11	7.5	14.27	0.6430205864460161
28	2	1991	0.85	7.68	3.48	0.7612961876867215
1	3	1991	-0.45	6.01	0.16	0.781652543763756
2	3	1991	-1.76	5.03	0.58	1.3836364766096392
3	3	1991	0.33	8.44	0.42	1.6953458612213503
4	3	1991	-0.13	7.58	3.19	1.0568020997838412
5	3	1991	6.33	10.97	2.58	1.1255594876865551
6	3	1991	5.48	13.1	3.36	1.413182517600084
7	3	1991	5.19	13.15	4.78	1.2722849411235897
8	3	1991	5.59	14.41	2.29	1.1215130567253269
9	3	1991	5.94	11.82	0.37	1.6646759012736347
10	3	1991	5.94	11.13	0.67	1.2569559232424645
11	3	1991	5.76	12.5	0.4	1.6492971588263936
12	3	1991	6.62	13.76	0.3	1.7625555398558976
13	3	1991	6.61	16.99	0.1	2.453809406217079
14	3	1991	5.26	14.51	0.71	2.020967790254144
15	3	1991	4.62	9.98	0.69	1.5360583375607908
16	3	1991	7.01	14.26	8.14	2.0147342525909475
17	3	1991	6.01	11.72	0.87	1.7646523105991219
18	3	1991	4.38	11.33	5.52	1.7054666984172138
19	3	1991	9.14	15.4	0.83	2.199013732804859
20	3	1991	7.98	13.24	2.47	1.6110332293971368
21	3	1991	3.69	11.62	0.19	2.0408352220849997
22	3	1991	2.89	7.74	1.02	1.818364877657042
23	3	1991	1.91	8.3	0.51	1.950705496732705
24	3	1991	1.7	9.63	0.22	1.9761866814176143
25	3	1991	1.46	8.65	0.03	1.947261454131879
26	3	1991	3.8	9.01	0.01	1.22859060621245
27	3	1991	2.49	11.29	0.01	2.6971223699693976
28	3	1991	3.26	11.21	0.06	1.9185221672411825
29	3	1991	0.2	9.88	0.24	1.8365804093685192
30	3	1991	0.39	13.64	0.09	2.6352659551983426
31	3	1991	5.69	12.59	0.23	1.6864309137623277
1	4	1991	7.09	11.73	2.78	1.7844989488348015
2	4	1991	6.11	13.1	4.9	2.1930525821637814
3	4	1991	4.19	11.29	0.47	2.743065203286661
4	4	1991	3.65	10.39	3.26	1.9131906086053392
5	4	1991	3.98	11.12	1.45	2.1999618795583564
6	4	1991	3.05	9.26	4.17	1.5173424041349048
7	4	1991	5.15	11.86	0.41	2.5074895703578406
8	4	1991	4.12	14.05	0.51	2.4068132205775665
9	4	1991	3.94	13.94	0.07	2.657572856164247
10	4	1991	5.59	15.98	0.07	2.465554718562103
11	4	1991	7.32	18.98	0.07	3.551768834337939
12	4	1991	7.75	19.42	0.06	3.712042243593056
13	4	1991	5.56	12.33	0.03	2.464339073452136
14	4	1991	5.07	10.58	0.07	2.0842889452489626
15	4	1991	4.38	11.14	0.19	2.1704717384764525
16	4	1991	3.08	9.6	0.14	1.6416501671958448
17	4	1991	2.15	7.47	0.64	1.6156394034578359
18	4	1991	0.82	9.07	2.37	1.954468338013995
19	4	1991	2.38	6.27	4.48	2.1552808217640695
20	4	1991	1.47	7.04	1.15	2.5177920844112873
21	4	1991	0.69	10.0	1.75	2.107473841149918
22	4	1991	2.25	9.34	0.7	2.6261322427225515
23	4	1991	0.32	11.7	0.13	3.47791302233379
24	4	1991	5.26	12.51	1.27	2.901362862903504
25	4	1991	4.15	11.7	0.08	3.442959119768934
26	4	1991	4.26	12.76	0.03	3.4940050491216965
27	4	1991	1.83	11.35	0.04	3.3143485976454468
28	4	1991	1.32	11.62	0.01	3.22255674833486
29	4	1991	2.73	10.89	8.09	2.7632790782706063
30	4	1991	5.27	9.65	6.64	1.7141381147532795
1	5	1991	4.89	10.45	2.03	1.4079381996920293
2	5	1991	3.2	11.36	0.79	2.5233227393174578
3	5	1991	4.39	10.12	2.79	2.506849285888537
4	5	1991	3.99	11.77	2.71	2.8418983852877915
5	5	1991	5.87	12.11	0.32	1.822066587464883
6	5	1991	4.05	11.62	0.03	3.4509927894951167
7	5	1991	3.9	11.12	0.42	3.083458690889048
8	5	1991	3.77	12.67	0.03	4.031763113969751
9	5	1991	1.97	14.54	0.0	4.287273655026963
10	5	1991	3.19	16.56	0.01	4.591264420724596
11	5	1991	4.33	14.54	0.31	2.9366023804327233
12	5	1991	6.36	16.94	0.26	4.112320663471312
