Tmin(C) Tmax(C) Prcp(mm) Et0(mm) Day Month Year
1.3 9.28 5.48 0.9505779195187866 1 1 1991
6.17 11.2 1.07 0.6880541064658523 2 1 1991
2.69 6.99 2.04 0.6974780158015501 3 1 1991
0.43 4.94 0.18 0.6358799561141669 4 1 1991
0.56 8.01 4.87 0.8815538543078074 5 1 1991
2.52 6.83 3.73 0.6812491781438471 6 1 1991
1.84 6.44 0.79 0.7132873121577363 7 1 1991
1.58 10.37 5.28 0.9236758166174717 8 1 1991
0.95 10.24 4.47 0.9602474543863954 9 1 1991
1.73 11.13 2.89 1.1124049814910466 10 1 1991
2.01 6.81 1.31 0.5397062162262926 11 1 1991
1.51 3.62 0.52 0.5111555053062242 12 1 1991
-1.05 5.95 0.18 0.9135132934859529 13 1 1991
-1.22 5.15 0.04 0.8457223389654756 14 1 1991
-1.14 4.82 0.03 0.8325798150542423 15 1 1991
-1.72 5.24 0.01 0.9107740049188118 16 1 1991
0.3 7.54 0.89 0.8133915233837584 17 1 1991
3.41 7.9 3.26 0.8342741581394795 18 1 1991
1.22 7.19 3.94 0.9479097036779772 19 1 1991
1.82 8.83 0.22 0.816419703967874 20 1 1991
1.49 6.51 0.21 0.8773313374013365 21 1 1991
1.3 6.29 0.11 0.6774206053492338 22 1 1991
0.7 3.94 0.21 0.42623708411728223 23 1 1991
-0.32 4.37 0.11 0.5311828854518357 24 1 1991
-1.3 4.54 0.1 0.7082251920302813 25 1 1991
-0.83 3.85 0.29 0.5519182707828922 26 1 1991
-1.06 4.23 0.24 0.5007576174149423 27 1 1991
-1.42 5.83 0.3 0.8372419492564127 28 1 1991
-1.56 2.94 0.21 0.4911517872100936 29 1 1991
-1.41 1.45 0.22 0.3782209509355931 30 1 1991
-1.97 3.01 0.35 0.4996121647628642 31 1 1991
-0.56 4.23 1.4 0.5557778609756372 1 2 1991
-3.04 3.83 0.09 0.721380999215379 2 2 1991
-3.74 2.59 0.0 0.6484429249958455 3 2 1991
-2.89 2.08 0.0 0.8489102384914384 4 2 1991
-2.36 2.05 0.12 0.7667543822107167 5 2 1991
-6.14 -0.01 0.34 0.8317643673065376 6 2 1991
-7.17 -2.61 5.85 0.514994441845983 7 2 1991
-5.73 -2.22 3.04 0.3720615320401949 8 2 1991
-5.73 -2.06 1.09 0.7100437034947062 9 2 1991
-4.95 0.25 1.99 0.7901429015866301 10 2 1991
-3.06 1.23 2.04 0.6749604091418546 11 2 1991
-3.29 2.05 1.19 0.9109972569005709 12 2 1991
-4.2 2.46 0.1 1.1880527209017866 13 2 1991
-4.03 2.36 0.08 1.069392051814444 14 2 1991
-1.99 3.17 6.72 0.9488246065110609 15 2 1991
-1.3 4.65 0.19 1.1838431996930832 16 2 1991
-1.24 4.8 0.29 1.0112594506284873 17 2 1991
-0.83 4.62 0.18 0.7279253219605559 18 2 1991
-2.55 4.73 0.03 1.2235214329649553 19 2 1991
-1.77 6.68 1.14 0.9691695666231381 20 2 1991
1.7 4.78 2.28 0.5127431535905751 21 2 1991
-0.17 8.19 3.75 1.2597959430632364 22 2 1991
8.52 13.14 0.75 1.0137605707714528 23 2 1991
7.07 13.12 0.31 1.2581998460390686 24 2 1991
3.51 12.05 0.17 1.8388732682676272 25 2 1991
4.67 9.62 0.2 0.8447853655342479 26 2 1991
3.8 5.98 7.81 0.5040359866169072 27 2 1991
1.55 8.3 4.28 0.8928685651147261 28 2 1991
0.37 6.6 0.14 1.0576654924044262 1 3 1991
-0.18 5.39 0.45 1.0888566066979355 2 3 1991
-0.27 10.12 0.37 1.771520564889343 3 3 1991
-0.56 7.72 1.56 0.9820787158201834 4 3 1991
6.55 11.22 4.36 0.9969993664771067 5 3 1991
6.74 13.15 1.45 1.1823398011147703 6 3 1991
6.51 14.43 2.89 1.3336623393748268 7 3 1991
7.42 14.63 2.04 1.670633468751882 8 3 1991
6.55 12.86 0.32 1.496134420468887 9 3 1991
7.14 11.71 0.5 1.211259644599345 10 3 1991
6.77 13.41 0.51 1.299799366581099 11 3 1991
6.55 14.51 0.28 1.4890930009139085 12 3 1991
4.16 16.84 0.04 2.845365779970722 13 3 1991
3.58 16.57 0.42 2.2459517858899294 14 3 1991
4.71 12.46 0.4 1.4521904776726267 15 3 1991
7.66 14.04 4.83 1.549683999945814 16 3 1991
6.62 13.02 1.02 1.541505492355658 17 3 1991
5.35 13.59 4.12 2.0815795191598387 18 3 1991
9.38 16.16 0.96 1.9718586699240284 19 3 1991
8.54 14.64 1.95 1.6029887895138604 20 3 1991
3.9 13.15 0.15 2.22397110666058 21 3 1991
3.11 8.63 1.62 1.4637670634106539 22 3 1991
2.11 8.05 0.66 1.7652906918685307 23 3 1991
2.28 9.98 0.33 1.6078483782216406 24 3 1991
1.44 9.15 0.01 2.1800514529474913 25 3 1991
3.79 9.15 0.0 1.1686125731376755 26 3 1991
2.01 11.55 0.03 2.7685491591648366 27 3 1991
2.57 12.16 0.07 2.0414861772664255 28 3 1991
0.07 10.76 0.12 2.300288494447221 29 3 1991
0.44 14.51 0.11 2.9509912799734117 30 3 1991
5.82 13.01 0.29 1.5683951648058634 31 3 1991
6.98 12.58 1.59 1.2674630196499725 1 4 1991
8.62 13.82 2.8 1.3870858487115714 2 4 1991
4.42 12.21 0.47 2.5484128182045622 3 4 1991
3.48 8.17 3.11 1.0278283126003434 4 4 1991
4.37 12.04 1.16 1.7659472337671862 5 4 1991
3.12 10.4 3.73 1.9853899740657943 6 4 1991
5.32 12.48 0.7 1.9128507416288971 7 4 1991
4.76 14.94 0.36 2.425019208514036 8 4 1991
3.22 16.46 0.03 2.9835078638186148 9 4 1991
5.43 16.95 0.03 2.969074555307719 10 4 1991
7.64 20.23 0.0 3.8277809314511733 11 4 1991
6.23 19.03 0.01 3.9751950954945308 12 4 1991
6.22 17.33 0.04 3.3011713356852073 13 4 1991
4.89 11.98 0.03 2.6100420787190384 14 4 1991
4.16 13.41 0.15 2.445615490645027 15 4 1991
3.07 9.42 0.18 1.8359096154364467 16 4 1991
2.56 7.83 0.87 1.882025397402491 17 4 1991
0.74 8.76 2.39 1.715068349924938 18 4 1991
1.76 8.02 4.1 1.9880837358880794 19 4 1991
0.78 6.42 2.05 1.980531431718103 20 4 1991
-1.13 10.46 1.98 2.1974070651860127 21 4 1991
1.88 8.75 1.47 2.237446872883618 22 4 1991
-0.25 12.67 0.05 3.0371093338878383 23 4 1991
2.95 11.6 2.03 2.294216162250952 24 4 1991
