Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1991	0.37	9.34	9.01	0.8071720549074703
2	1	1991	2.87	10.07	2.52	0.7168568480869217
3	1	1991	0.78	3.81	2.85	0.3675254111713627
4	1	1991	0.47	4.39	0.66	0.430033328207689
5	1	1991	0.15	4.15	11.09	0.3813556256891241
6	1	1991	-2.28	4.16	2.94	0.5537016223954092
7	1	1991	-1.85	1.94	6.19	0.31126590136619225
8	1	1991	-0.2	3.0	13.69	0.3328149402289573
9	1	1991	-0.85	3.8	9.05	0.39242877993245096
10	1	1991	1.28	3.0	2.86	0.18923031637092919
11	1	1991	0.48	3.31	1.2	0.3303209876355858
12	1	1991	-3.83	2.89	1.14	0.6447832668278868
13	1	1991	-4.01	1.98	0.12	0.562844571197608
14	1	1991	-2.31	2.05	0.16	0.4791795879619871
15	1	1991	-3.03	1.62	0.03	0.5254088940396351
16	1	1991	-4.49	1.12	0.13	0.5491377408908814
17	1	1991	-1.73	4.43	2.94	0.5541924593698508
18	1	1991	0.34	4.44	6.51	0.3629292227807281
19	1	1991	1.23	3.79	0.14	0.4086307344885144
20	1	1991	3.93	7.19	0.8	0.4220777923109338
21	1	1991	-2.23	4.19	0.15	0.8148910074478632
22	1	1991	-2.62	3.08	0.0	0.6994661436595382
23	1	1991	-2.71	0.86	0.6	0.34912302574004284
24	1	1991	-3.07	2.38	0.69	0.6360190327494066
25	1	1991	-3.15	0.48	0.08	0.39250190565563525
26	1	1991	-4.32	1.17	0.02	0.620084843029978
27	1	1991	-5.9	-1.03	0.1	0.3887850044966603
28	1	1991	-4.85	1.61	0.31	0.48556698722633185
29	1	1991	-3.66	-0.09	0.19	0.32657027929387417
30	1	1991	-3.79	-0.54	0.19	0.3466462316073813
31	1	1991	-3.21	1.22	0.54	0.40784341855399775
1	2	1991	-3.3	0.61	2.56	0.4128956588380041
2	2	1991	-4.11	1.03	0.93	0.6626450612692285
3	2	1991	-4.0	0.64	0.21	0.5590099741654253
4	2	1991	-5.42	-0.91	0.07	0.4688810053398209
5	2	1991	-6.56	0.74	0.35	0.8320536850353653
6	2	1991	-5.63	-0.58	0.52	0.6346074142058735
7	2	1991	-5.63	-1.32	3.47	0.5669871063882521
8	2	1991	-3.05	-0.38	3.63	0.4448573814004977
9	2	1991	-6.97	-2.56	1.12	0.47346767169809534
10	2	1991	-3.32	0.13	2.82	0.5951680622358251
11	2	1991	-6.28	0.07	0.23	0.9084158608124694
12	2	1991	-5.45	1.07	1.48	0.7466529675832279
13	2	1991	-7.18	1.36	0.12	1.0935249202730244
14	2	1991	-7.18	1.18	2.33	0.9335346988152778
15	2	1991	-0.85	2.33	3.51	0.9953084394810682
16	2	1991	-2.34	2.83	0.15	0.986935900325054
17	2	1991	-2.14	2.41	0.24	0.845103777262003
18	2	1991	-3.83	2.35	0.06	0.8141725409812701
19	2	1991	-2.59	2.73	0.53	0.7847656734763433
20	2	1991	-0.39	3.51	1.43	0.6335232824075375
21	2	1991	0.64	3.02	10.79	0.4240315019183386
22	2	1991	0.48	7.75	8.01	0.9582728887982543
23	2	1991	7.93	9.69	5.27	0.4056043786058258
24	2	1991	2.13	8.41	1.17	1.3196955731145534
25	2	1991	0.74	8.37	0.31	1.6106522240046566
26	2	1991	2.08	9.75	1.17	1.021215437574625
27	2	1991	0.82	3.58	9.43	0.8834009233215127
28	2	1991	-0.94	4.19	3.44	0.9650953155683046
1	3	1991	-1.59	4.43	0.32	1.1827578660764997
2	3	1991	-1.97	3.08	1.87	0.8413624305781812
3	3	1991	-1.84	5.01	2.19	0.8894588335863656
4	3	1991	-1.77	6.08	16.14	0.7900293727328878
5	3	1991	3.75	9.87	0.99	1.204362532138948
6	3	1991	4.59	7.73	2.04	0.5713638688404736
7	3	1991	3.25	5.65	6.33	0.5506517122528263
8	3	1991	3.22	12.05	4.06	1.1861108351599179
9	3	1991	4.37	9.0	3.23	0.6934828131292985
10	3	1991	5.65	9.57	2.13	0.8424910276597839
11	3	1991	5.12	11.39	0.26	1.410858320499067
12	3	1991	5.58	12.22	0.54	1.086138016287101
13	3	1991	7.44	15.05	1.09	1.4047560058577246
14	3	1991	5.3	11.01	2.99	1.2365773315962627
15	3	1991	4.58	7.71	2.4	0.6821842820897371
16	3	1991	6.4	12.14	10.51	1.1359308705514795
17	3	1991	4.73	10.09	1.75	1.1662412001182856
18	3	1991	3.94	9.56	9.2	0.9337963897139094
19	3	1991	6.72	11.88	4.67	0.9855288383819234
20	3	1991	6.21	10.33	9.07	0.7866807016441179
21	3	1991	2.45	7.99	0.86	1.3396397902080965
22	3	1991	1.12	5.3	1.24	1.356356638235153
23	3	1991	-0.14	6.66	0.63	1.3437133927749143
24	3	1991	0.08	9.41	0.17	1.9665947686276959
25	3	1991	-0.45	8.58	0.06	1.8707098822636743
26	3	1991	1.39	8.79	0.04	1.0153561192504468
27	3	1991	-0.1	10.64	0.07	1.7660130852393343
28	3	1991	-0.01	10.05	0.03	1.7534553212633683
29	3	1991	1.14	10.32	0.25	2.281180992275162
30	3	1991	1.4	8.21	1.01	1.2358607158984487
31	3	1991	6.23	10.8	1.06	1.1267243887414082
1	4	1991	6.63	8.87	3.01	0.7384638543975286
2	4	1991	3.19	9.22	7.91	1.0917721792270272
3	4	1991	1.47	7.39	0.78	1.5314577103275042
4	4	1991	2.55	7.82	8.6	0.9815502751674174
5	4	1991	2.84	8.05	3.55	1.2966441940643834
6	4	1991	2.16	5.87	5.91	0.7824948213647982
7	4	1991	3.82	7.97	1.67	1.4607464772635923
8	4	1991	3.46	8.87	1.18	1.7914678091532117
9	4	1991	4.48	11.54	0.3	1.631911841300977
10	4	1991	5.39	12.42	0.14	1.8019424459961
11	4	1991	6.48	15.15	0.48	1.7196729189008688
12	4	1991	7.58	16.23	0.28	1.8335724592497513
13	4	1991	1.88	8.48	0.33	1.636440907644289
14	4	1991	1.22	9.8	0.02	2.836887110648679
15	4	1991	2.09	13.08	0.21	3.246655359818316
16	4	1991	0.04	8.52	0.13	2.095138633317491
17	4	1991	-0.34	5.42	0.27	1.1723005619528506
18	4	1991	1.01	7.81	3.18	1.9083769591297466
19	4	1991	-0.49	5.24	1.49	1.7270166378024294
20	4	1991	-2.06	5.34	0.58	1.8668168593203283
21	4	1991	-0.1	8.43	3.55	1.954778645213317
22	4	1991	-0.32	7.64	0.22	2.0542515190068924
23	4	1991	-0.45	9.95	1.13	2.0149057677053674
24	4	1991	0.87	10.42	0.67	1.6739506595603002
25	4	1991	0.39	10.89	0.02	2.728414592469275
26	4	1991	0.55	11.95	0.03	3.358036197379779
27	4	1991	-0.39	10.85	0.07	3.2496343111828043
28	4	1991	-1.82	11.49	0.02	3.111636147631228
29	4	1991	2.4	7.55	10.81	1.113617869612247
30	4	1991	1.76	8.11	1.88	1.7627609627257415
1	5	1991	1.3	10.49	0.42	2.7485401818781723
2	5	1991	1.05	10.7	0.19	2.884188740459352
3	5	1991	1.04	10.62	4.22	2.2864844190858937
4	5	1991	2.91	9.79	0.87	1.9415744784809852
5	5	1991	1.84	11.17	0.07	2.645768312429447
6	5	1991	0.76	12.26	1.71	2.6369143377332396
7	5	1991	3.25	9.96	1.36	2.185628722290636
8	5	1991	2.77	12.34	0.07	3.2207464055886432
9	5	1991	0.4	13.75	0.0	4.060398219197943
10	5	1991	1.58	13.39	0.06	2.715523463181156
11	5	1991	4.47	12.95	0.94	2.3355587089419445
12	5	1991	2.65	14.19	0.86	2.5222662833740914
13	5	1991	5.81	12.91	1.08	1.7555769293866141
14	5	1991	3.14	13.15	0.08	3.405497176234589
15	5	1991	4.72	12.57	2.91	2.10858935512522
16	5	1991	5.83	11.58	2.8	1.6003049943781442
17	5	1991	7.48	11.98	1.62	1.6777681853697628
18	5	1991	6.85	13.05	0.59	2.3607003850732178
19	5	1991	8.62	13.66	0.51	2.73810468760972
20	5	1991	9.19	16.39	0.89	2.078612666748747
21	5	1991	8.9	16.26	0.13	2.8873749937841318
22	5	1991	7.44	14.31	0.12	3.2517354367355273
23	5	1991	6.86	13.73	0.43	2.6115551614686887
24	5	1991	9.32	17.66	0.43	3.6996885605855634
25	5	1991	8.41	16.23	0.24	2.501953997006622
26	5	1991	8.07	14.57	1.23	2.3353315341084233
27	5	1991	7.08	16.76	0.65	3.172369296055828
28	5	1991	4.47	13.44	0.01	2.977374997543369
29	5	1991	3.21	15.06	0.16	3.5171646615395145
30	5	1991	6.76	16.73	0.21	2.9288402162284624
31	5	1991	5.74	15.85	0.14	3.0555296371015395
1	6	1991	4.88	12.42	0.03	3.682928408265563
2	6	1991	4.07	10.99	7.04	1.5186581321521617
3	6	1991	3.11	8.47	0.45	2.7186189569481183
4	6	1991	1.89	10.4	0.52	3.0619142241466974
5	6	1991	2.7	13.26	0.73	3.7593711385131345
6	6	1991	6.48	13.4	2.62	2.131947429759875
7	6	1991	3.94	13.61	1.38	3.3354148278355096
8	6	1991	3.27	13.54	4.0	2.902952169654566
9	6	1991	8.56	14.49	7.31	2.406092136126232
10	6	1991	7.44	13.82	2.82	2.229108175511902
11	6	1991	5.38	12.6	3.23	1.894585347739921
12	6	1991	8.99	14.22	2.54	2.785977642297393
13	6	1991	7.9	12.3	5.04	1.9575906479972054
14	6	1991	7.57	13.49	2.61	2.2933794960609464
15	6	1991	6.15	12.44	5.33	2.1950411609068814
16	6	1991	5.81	14.16	3.37	2.9594542387296117
17	6	1991	6.43	13.5	2.07	2.6996635856218165
18	6	1991	6.38	9.8	3.68	1.5261447683445313
19	6	1991	7.13	13.37	4.37	2.606295418356862
20	6	1991	6.28	15.51	0.27	3.9262951771595227
21	6	1991	7.89	16.54	5.09	2.2036801559349875
22	6	1991	7.91	15.65	5.02	3.1961960143527213
23	6	1991	7.68	14.86	1.04	3.1074566471346445
24	6	1991	6.27	17.76	1.65	3.6595054464386676
25	6	1991	11.08	15.9	3.13	1.9018618194773338
26	6	1991	8.9	15.22	3.04	3.549342792692861
27	6	1991	7.87	16.14	1.95	3.2940864738621305
28	6	1991	8.08	16.48	0.42	3.7838430497343256
29	6	1991	6.44	15.92	0.81	3.5459354548917617
30	6	1991	10.53	17.07	0.83	2.8163654053050196
1	7	1991	9.49	17.84	2.44	3.681148035435947
2	7	1991	9.94	17.93	2.75	3.2933770109621996
3	7	1991	11.65	21.3	1.85	2.727972532925494
4	7	1991	11.19	22.58	0.11	5.185440949058905
5	7	1991	12.24	20.25	0.07	4.435599633523276
6	7	1991	14.09	24.31	1.87	4.377703239575225
7	7	1991	13.23	23.69	10.08	4.319854823996264
8	7	1991	12.71	20.01	4.35	2.667015272983825
9	7	1991	11.89	17.53	1.98	2.750993433825599
10	7	1991	10.95	20.23	0.03	3.771225592276156
11	7	1991	9.62	23.22	2.03	3.687173544095751
12	7	1991	9.31	17.73	2.78	3.191806059073313
13	7	1991	11.39	17.76	2.67	2.6105000201915525
14	7	1991	10.26	16.96	0.26	3.4041251948665483
15	7	1991	11.59	16.93	2.66	2.408236346635939
16	7	1991	10.28	16.03	1.67	3.09611041707233
17	7	1991	9.16	15.98	0.35	3.1872911607564234
18	7	1991	10.75	18.21	10.61	2.34979081643475
19	7	1991	11.65	17.8	2.66	2.878203736395324
20	7	1991	9.84	17.27	1.26	3.1518516293469876
21	7	1991	9.21	18.75	0.76	3.782474127022324
22	7	1991	12.44	19.98	0.63	3.0284225415216515
23	7	1991	10.3	19.37	3.56	2.377614009313686
24	7	1991	9.74	17.48	5.54	2.682796449675318
25	7	1991	10.68	18.33	3.82	2.7862852798473545
26	7	1991	9.19	20.91	0.11	4.064084783166711
27	7	1991	10.44	21.84	0.54	3.6884856632848786
28	7	1991	12.23	22.01	0.21	3.4775818188453504
29	7	1991	11.31	23.62	0.07	4.924746517860757
30	7	1991	13.79	22.83	0.5	3.630880068432784
31	7	1991	12.48	22.08	3.42	3.0939045897106054
1	8	1991	10.89	21.02	0.21	3.9299576038659625
2	8	1991	11.77	19.18	0.33	2.911794843131653
3	8	1991	10.1	20.74	0.68	3.736180158520624
4	8	1991	10.31	19.87	0.36	3.0359620209093285
5	8	1991	12.93	18.97	3.56	1.4345885924387107
6	8	1991	12.08	20.69	9.24	2.0539643482558088
7	8	1991	8.98	17.78	0.88	2.864469948966766
8	8	1991	10.73	18.48	0.16	3.81398320975844
9	8	1991	11.19	18.83	4.76	1.973500642980135
10	8	1991	14.58	20.84	3.29	1.834166203754175
11	8	1991	10.53	16.97	0.48	2.8525614851802694
12	8	1991	9.09	15.68	0.36	2.3774549826321456
13	8	1991	7.63	17.83	0.12	3.597168011068314
14	8	1991	8.13	18.62	0.01	3.085845976463685
15	8	1991	9.5	19.22	0.62	2.652352971708761
16	8	1991	10.36	15.41	1.87	1.9286369633171765
17	8	1991	8.54	16.82	1.44	3.049285948821121
18	8	1991	7.08	16.64	0.09	3.260130214825295
19	8	1991	7.07	17.03	1.48	1.950053513489417
20	8	1991	7.62	17.8	0.01	3.8986555064039665
21	8	1991	8.5	20.92	0.25	3.6839746946449
22	8	1991	12.21	21.26	3.91	2.796877899435448
23	8	1991	9.33	15.26	6.48	1.767722391038474
24	8	1991	10.37	17.84	0.6	2.4495473980294387
25	8	1991	10.66	18.91	0.19	2.7606403435262274
26	8	1991	10.07	20.48	0.22	3.476650484795115
27	8	1991	10.69	18.47	1.49	1.7183945775850276
