Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1991	0.6	9.55	5.37	0.85560820565608
2	1	1991	2.86	9.95	1.31	0.7902184299681803
3	1	1991	1.65	4.71	1.98	0.42157972909587427
4	1	1991	2.14	5.65	1.41	0.4864919753823493
5	1	1991	2.01	6.3	6.05	0.5386731690094073
6	1	1991	-0.97	6.18	1.47	0.7084411098950493
7	1	1991	-1.67	2.83	2.92	0.47431503696117705
8	1	1991	0.15	2.55	15.61	0.336483718892435
9	1	1991	-0.69	2.18	3.89	0.37019840275961624
10	1	1991	1.59	2.83	1.56	0.2924083292903715
11	1	1991	1.62	4.13	1.07	0.3779952239762704
12	1	1991	-2.63	2.3	1.8	0.5568621164253075
13	1	1991	-2.95	2.42	0.04	0.5996898339843502
14	1	1991	-1.53	2.57	0.03	0.49291808327533515
15	1	1991	-1.35	3.12	0.01	0.5837237736547498
16	1	1991	-2.92	1.91	0.07	0.5789236583298858
17	1	1991	-0.27	5.14	2.14	0.5671843361317845
18	1	1991	0.65	4.84	4.13	0.3408246114302483
19	1	1991	1.69	5.21	0.24	0.5947937578322806
20	1	1991	3.9	8.61	0.64	0.6443350067285417
21	1	1991	1.04	4.83	0.13	0.6427859173623809
22	1	1991	-1.25	3.71	0.03	0.6509689798564116
23	1	1991	-1.35	4.01	1.36	0.48455363578089505
24	1	1991	-2.06	4.7	0.83	0.7406464622949782
25	1	1991	-3.32	1.87	0.04	0.5280598068559756
26	1	1991	-2.06	3.52	0.09	0.6866524263829914
27	1	1991	-2.68	1.23	0.05	0.4880651184288646
28	1	1991	-2.74	2.48	0.11	0.44701682210486243
29	1	1991	-1.4	1.33	0.12	0.24131699228795617
30	1	1991	-1.69	0.79	0.52	0.3591897597577037
31	1	1991	-0.73	2.93	0.57	0.43894865442281195
1	2	1991	-2.86	2.49	2.44	0.5590961414007897
2	2	1991	-2.35	2.1	0.76	0.5558057218273109
3	2	1991	-2.82	1.92	0.15	0.39783460788834596
4	2	1991	-2.63	0.71	0.1	0.4022551783132836
5	2	1991	-2.91	2.04	0.56	0.4584830867880737
6	2	1991	-2.54	1.25	0.59	0.47139804241166305
7	2	1991	-1.0	0.76	2.86	0.3800431227077009
8	2	1991	-0.45	1.03	4.93	0.24369563585757564
9	2	1991	-1.7	-0.27	3.3	0.31463628014355244
10	2	1991	-1.27	1.1	3.42	0.4047957200978203
11	2	1991	-2.77	1.11	0.59	0.5477504597061327
12	2	1991	-2.92	1.59	0.66	0.5970444225450047
13	2	1991	-3.92	2.48	0.29	0.8413138676243753
14	2	1991	-5.01	2.94	3.41	1.0107278846518133
15	2	1991	-0.1	3.62	6.02	0.6972796799735583
16	2	1991	-0.43	3.85	0.27	0.7794623886140746
17	2	1991	-1.3	3.02	0.24	0.4956385415877075
18	2	1991	-2.16	3.22	0.04	0.8242799355270164
19	2	1991	-1.38	4.2	0.84	0.8657240444943282
20	2	1991	1.86	4.89	1.19	0.5028014984777606
21	2	1991	1.21	4.59	8.84	0.6731402854724083
22	2	1991	1.01	7.58	8.76	1.2148260188074262
23	2	1991	7.27	10.43	4.56	0.7870544239973337
24	2	1991	3.3	9.2	1.02	1.4544103306457288
25	2	1991	0.17	8.66	0.08	1.6144089261603365
26	2	1991	2.87	8.58	0.87	0.876280521460556
27	2	1991	0.67	6.08	9.29	0.6226194196594683
28	2	1991	-0.52	3.91	6.74	0.5082550124471534
1	3	1991	-1.66	4.48	0.21	1.0138155501614121
2	3	1991	-2.04	3.51	1.4	0.8636346330421973
3	3	1991	-0.72	5.2	1.72	1.067387618964513
4	3	1991	-1.05	5.48	16.88	0.6387331524307086
5	3	1991	3.49	10.46	0.51	1.6317687304324764
6	3	1991	3.67	6.61	1.84	0.6932296846923249
7	3	1991	4.36	5.34	4.3	0.3827479772734953
8	3	1991	3.85	9.15	4.79	0.7908840232620193
9	3	1991	3.87	7.99	2.24	0.9732098241402344
10	3	1991	5.8	10.86	0.78	1.2144337737433624
11	3	1991	3.94	11.56	0.09	1.7863291917149136
12	3	1991	5.21	11.73	0.37	1.3807798061569256
13	3	1991	7.58	14.65	1.55	1.63709165938356
14	3	1991	4.33	10.77	2.56	1.5003156447875952
15	3	1991	4.29	9.14	2.14	1.1056740093332853
16	3	1991	6.58	12.76	7.82	1.8484584488290823
17	3	1991	3.98	10.23	2.56	1.70754994382379
18	3	1991	3.71	9.45	7.18	1.2358489172224365
19	3	1991	5.3	12.15	3.3	1.5178568025647208
20	3	1991	5.19	9.51	15.35	1.1580542816246657
21	3	1991	2.81	8.26	1.43	1.9463581251132664
22	3	1991	1.15	5.4	1.13	1.6666564162642061
23	3	1991	1.5	7.74	1.3	1.2237773810258845
24	3	1991	1.46	9.23	0.05	1.7989447836308878
25	3	1991	2.1	8.41	0.11	1.6754838962044198
26	3	1991	1.7	8.26	0.03	1.0609722877702819
27	3	1991	1.09	9.97	0.03	1.6803045820239264
28	3	1991	1.15	8.9	0.07	1.972301477762767
29	3	1991	1.72	10.98	0.06	1.9664874493751352
30	3	1991	3.27	9.54	2.24	1.3787537836685941
31	3	1991	6.85	10.47	3.12	1.3878062227993058
1	4	1991	6.74	10.46	3.5	0.6043889080599856
2	4	1991	2.84	10.4	2.35	1.4633798055742622
3	4	1991	2.12	7.77	0.61	1.912156996346738
4	4	1991	3.15	7.68	6.73	0.6527595694126473
5	4	1991	3.23	9.51	2.74	1.7614878625335482
6	4	1991	2.49	6.39	3.94	1.2844832744504715
7	4	1991	4.47	8.55	1.59	1.856497713130551
8	4	1991	3.09	9.67	0.54	2.2190772399263654
9	4	1991	3.49	11.39	0.52	1.950388690468671
10	4	1991	6.7	11.27	0.58	0.7774045869606647
