AquaCrop 6.1 (May 2018) - Output created on (date) : 04/02/2020   at (time) : 15:03:41
Simulation run

    RunNr     Day1   Month1    Year1     Rain      ETo       GD     CO2      Irri   Infilt   Runoff    Drain   Upflow        E     E/Ex       Tr      TrW   Tr/Trx    SaltIn   SaltOut    SaltUp  SaltProf     Cycle   SaltStr  FertStr  WeedStr  TempStr   ExpStr   StoStr  BioMass  Brelative   HI     Yield     WPet     DayN   MonthN    YearN
                                           mm       mm    °C.day    ppm        mm       mm       mm       mm       mm       mm        %       mm       mm        %    ton/ha    ton/ha    ton/ha    ton/ha      days       %        %        %        %        %        %    ton/ha        %       %    ton/ha    kg/m3
        1        1        8     2000      818      434     1707   369.55        0      192      326      144        0       91       82      336      335       94     0.000     0.000     0.000     0.000      102        0        0        0        0        0        6    15.591       95     42.3    6.595     1.55       15       11     2000
        2        1        8     2001      408      385     1716   371.14        0      282        0       92        0      100       97      293      293       95     0.000     0.000     0.000     0.000       97        0        0        0        0       19        5    14.890       93     42.4    6.314     1.62       12       11     2001
        3        1        8     2002      371      432     1708   373.28        0      261        0       67        0      111       93      272      272       82     0.000     0.000     0.000     0.000      102        0        0        0        0       34       16    12.746       76     41.8    5.325     1.39       16       11     2002
        4        1        8     2003      560      413     1718   375.80        0      219        0      168        0      106       98      334      334      100     0.000     0.000     0.000     0.000      100        0        0        0        0        0        0    16.623      100     43.0    7.148     1.63       15       11     2003
        5        1        8     2004      275      401     1717   377.52        0      221        0       32        0       95       57      230      230       87     0.000     0.000     0.000     0.000       94        0        0        0        0       32       12    11.244       71     41.9    4.707     1.45        9       11     2004
        6        1        8     2005      546      362     1709   379.80        0      354        0      102        0       88       93      293      293      100     0.000     0.000     0.000     0.000       95        0        0        0        0        4        0    15.944      100     43.2    6.880     1.81        9       11     2005
        7        1        8     2006      462      377     1713   381.90        0      244        0      140        0       99       98      304      304      100     0.000     0.000     0.000     0.000       94        0        0        0        0        3        0    15.977      100     43.0    6.870     1.71        9       11     2006
        8        1        8     2007      422      379     1712   383.79        0      236        0      111        0      101      100      280      280       92     0.000     0.000     0.000     0.000       95        0        0        0        0        0        7    14.945       93     42.4    6.333     1.67        9       11     2007
        9        1        8     2008      652      398     1708   385.60        0      206       78      179        0       97       99      327      327      100     0.000     0.000     0.000     0.000       96        0        0        0        0        0        0    16.390      100     43.0    7.048     1.67       11       11     2008
       10        1        8     2009      745      394     1710   387.43        0      214      203      148        0       74       66      307      307      100     0.000     0.000     0.000     0.000       92        0        0        0        0        4        0    15.444       98     43.0    6.641     1.75        6       11     2009
       11        1        8     2010      682      351     1710   389.90        0      239       70      169        0       85       89      281      281      100     0.000     0.000     0.000     0.000       93        0        0        0        0        0        0    16.048      100     43.0    6.901     1.89        7       11     2010
