AquaCrop 6.1 (May 2018) - Output created on (date) : 08/01/2020   at (time) : 16:37:41
Simulation run

    RunNr     Day1   Month1    Year1     Rain      ETo       GD     CO2      Irri   Infilt   Runoff    Drain   Upflow        E     E/Ex       Tr      TrW   Tr/Trx    SaltIn   SaltOut    SaltUp  SaltProf     Cycle   SaltStr  FertStr  WeedStr  TempStr   ExpStr   StoStr  BioMass  Brelative   HI     Yield     WPet     DayN   MonthN    YearN
                                           mm       mm    °C.day    ppm        mm       mm       mm       mm       mm       mm        %       mm       mm        %    ton/ha    ton/ha    ton/ha    ton/ha      days       %        %        %        %        %        %    ton/ha        %       %    ton/ha    kg/m3
        1       25        4     1976      150      486     1884   332.04        0      148        2        0        0       71       31      163      161       54     0.000     0.000     0.000     0.000      110        0        0        0        0       41       30     7.244       54     79.5    5.755     2.47       27        8     1976
        2       25        4     1977      309      331     1605   333.83        0      303        6       49        0       98       69      218      218      100     0.000     0.000     0.000     0.000      110        0        0        0        0        1        0    13.489      100     85.0   11.465     3.63       27        8     1977
        3       25        4     1978      343      339     1608   335.40        0      307       35      107        0       94       66      197      198       87     0.000     0.000     0.000     0.000      110        0        0        0        0        1        9    11.833       87     84.0    9.938     3.42       27        8     1978
        4       25        4     1979      278      334     1599   336.84        0      270        8       31        0       99       70      194      192       87     0.000     0.000     0.000     0.000      110        0        0        0        0       30        9    11.746       86     83.7    9.836     3.36       27        8     1979
        5       25        4     1980      402      335     1587   338.75        0      367       35      134        0       84       55      211      210      100     0.000     0.000     0.000     0.000      110        0        0        0        0        1        0    13.652      100     85.2   11.633     3.95       27        8     1980
        6       25        4     1981      353      333     1642   340.11        0      335       18       70        0      114       79      219      219      100     0.000     0.000     0.000     0.000      110        0        0        0        0        1        0    13.695      100     85.0   11.640     3.50       27        8     1981
        7       25        4     1982      278      386     1787   341.45        0      275        3        3        0       99       62      235      236       90     0.000     0.000     0.000     0.000      110        0        0        0        0        0        7    12.414       90     84.3   10.459     3.12       27        8     1982
        8       25        4     1983      228      393     1826   343.05        0      223        5       47        0      115       81      156      158       55     0.000     0.000     0.000     0.000      110        0        0        0        0       42       33     7.411       54     76.4    5.661     2.09       27        8     1983
        9       25        4     1984      246      351     1598   344.65        0      230       15       69        0       93       74      161      160       63     0.000     0.000     0.000     0.000      110        0        0        0        0       36       24     9.179       66     80.5    7.393     2.91       27        8     1984
       10       25        4     1985      297      366     1613   346.12        0      286       11       43        0       92       63      228      227       91     0.000     0.000     0.000     0.000      110        0        0        0        0        1        6    12.793       92     84.9   10.857     3.39       27        8     1985
       11       25        4     1986      220      406     1735   347.42        0      212        8       24        0      119       69      152      151       57     0.000     0.000     0.000     0.000      110        0        0        0        0       47       31     7.539       54     77.8    5.869     2.17       27        8     1986
       12       25        4     1987      417      333     1590   349.19        0      399       18       67        0       99       74      229      231      100     0.000     0.000     0.000     0.000      110        0        0        0        1        1        0    14.061      100     85.0   11.950     3.65       27        8     1987
       13       25        4     1988      342      354     1689   351.57        0      333       10       29        0      105       67      229      227      100     0.000     0.000     0.000     0.000      110        0        0        0        0        7        0    14.101       99     85.1   11.997     3.59       27        8     1988
       14       25        4     1989      126      447     1814   352.12        0      125        1        9        0       76       35      126      126       47     0.000     0.000     0.000     0.000      110        0        0        0        0       48       38     6.223       44     76.1    4.738     2.35       27        8     1989
       15       25        4     1990      181      436     1783   354.39        0      180        1        0        0       77       42      196      197       68     0.000     0.000     0.000     0.000      110        0        0        0        0        1       19    10.406       73     82.3    8.568     3.13       27        8     1990
       16       25        4     1991      288      380     1617   355.61        0      276       12       42        0       83       59      240      240       89     0.000     0.000     0.000     0.000      110        0        0        0        0        0        9    12.649       88     84.3   10.657     3.30       27        8     1991
       17       25        4     1992      398      412     1857   356.45        0      378       21       64        0      106       61      238      236       87     0.000     0.000     0.000     0.000      110        0        0        0        0        7        8    12.667       88     85.3   10.801     3.14       27        8     1992
       18       25        4     1993      287      389     1760   356.10        0      278        9       19        0       98       56      231      232       93     0.000     0.000     0.000     0.000      110        0        0        0        0       19        4    13.374       93     84.9   11.355     3.45       27        8     1993
       19       25        4     1994      276      419     1833   358.83        0      266       10       30        0      106       67      189      190       63     0.000     0.000     0.000     0.000      110        0        0        0        0       42       23     9.486       66     79.9    7.582     2.58       27        8     1994
       20       25        4     1995      209      426     1843   360.82        0      203        6       44        0       91       58      157      156       51     0.000     0.000     0.000     0.000      110        0        0        0        0       34       32     8.086       56     73.7    5.961     2.41       27        8     1995
       21       25        4     1996      268      396     1636   362.61        0      261        7        7        0      103       61      192      191       74     0.000     0.000     0.000     0.000      110        0        0        0        1       45       15    10.570       72     82.6    8.734     2.96       27        8     1996
       22       25        4     1997      311      407     1817   363.73        0      305        6       38        0      110       67      232      232       84     0.000     0.000     0.000     0.000      110        0        0        0        0        1       10    12.663       86     84.1   10.651     3.11       27        8     1997
       23       25        4     1998      248      383     1754   366.70        0      242        7       12        0       96       57      184      184       74     0.000     0.000     0.000     0.000      110        0        0        0        0        5       15    11.470       78     82.0    9.408     3.36       27        8     1998
       24       25        4     1999      251      418     1826   368.38        0      246        5        0        0       93       54      212      212       75     0.000     0.000     0.000     0.000      110        0        0        0        0        8       15    11.633       78     82.9    9.642     3.17       27        8     1999
       25       25        4     2000      292      364     1779   369.55        0      286        6       17        0      104       66      236      236       99     0.000     0.000     0.000     0.000      110        0        0        0        0       17        1    14.453       97     84.9   12.274     3.61       27        8     2000
       26       25        4     2001      256      414     1820   371.14        0      243       12       12        0       82       48      238      239       85     0.000     0.000     0.000     0.000      110        0        0        0        0       17        9    12.885       86     84.9   10.934     3.42       27        8     2001
       27       25        4     2002      418      371     1783   373.28        0      391       27       27        0       97       66      252      253       99     0.000     0.000     0.000     0.000      110        0        0        0        0        1        0    14.856       99     85.2   12.663     3.62       27        8     2002
       28       25        4     2003      228      446     1958   375.80        0      223        5       42        0      116       65      160      161       52     0.000     0.000     0.000     0.000      110        0        0        0        0       39       34     7.756       51     76.2    5.911     2.14       27        8     2003
       29       25        4     2004      360      394     1771   377.52        0      353        7        4        0       92       56      265      264      100     0.000     0.000     0.000     0.000      110        0        0        0        0        1        0    15.107      100     85.2   12.878     3.61       27        8     2004
       30       25        4     2005      318      416     1774   379.80        0      308       11       11        0      101       54      240      238       90     0.000     0.000     0.000     0.000      110        0        0        0        0       27        6    13.363       88     85.5   11.425     3.35       27        8     2005
