Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1991	2.65	9.37	4.9	0.8729398130236734
2	1	1991	5.99	10.8	2.57	0.6613518305012713
3	1	1991	4.17	7.75	1.81	0.6705019705269553
4	1	1991	2.39	5.87	0.54	0.5976237981538659
5	1	1991	2.76	8.74	4.56	0.8154168936870687
6	1	1991	5.23	7.19	3.69	0.5321570314379005
7	1	1991	4.25	7.16	0.82	0.623413589222029
8	1	1991	3.66	10.43	5.42	0.784693116354261
9	1	1991	3.15	10.18	3.5	0.8080305190033239
10	1	1991	4.46	10.88	1.62	0.907255778594958
11	1	1991	3.77	7.55	1.6	0.4847709445580298
12	1	1991	2.39	4.12	0.59	0.5006022956056635
13	1	1991	0.91	5.98	0.41	0.805609834397905
14	1	1991	1.26	5.2	0.05	0.7159780068195545
15	1	1991	0.91	4.93	0.01	0.7341731580432503
16	1	1991	0.45	5.5	0.0	0.823695062263474
17	1	1991	1.91	7.6	1.21	0.7214475538712875
18	1	1991	4.93	7.19	2.3	0.6689003819917496
19	1	1991	2.74	7.14	4.27	0.855913880037468
20	1	1991	3.3	8.92	0.18	0.727583561870514
21	1	1991	2.29	6.98	0.14	0.8743881877558723
22	1	1991	2.03	6.16	0.25	0.6238884577706503
23	1	1991	1.25	4.46	0.15	0.4336439709965632
24	1	1991	0.81	4.27	0.29	0.45621467999064336
25	1	1991	-0.02	3.9	0.12	0.5872709012873961
26	1	1991	0.85	3.73	0.39	0.4451433361151543
27	1	1991	1.01	4.42	0.35	0.39011142296232304
28	1	1991	0.26	5.45	0.24	0.7141090967375737
29	1	1991	0.09	2.68	0.21	0.37799904436014115
30	1	1991	-0.19	2.19	0.12	0.3639942300030116
31	1	1991	0.42	3.19	0.41	0.37684544445439283
1	2	1991	0.88	4.42	1.0	0.48835830915105694
2	2	1991	-1.39	4.08	0.09	0.6565630674801053
3	2	1991	-2.08	2.87	0.0	0.5878117392968383
4	2	1991	-1.33	2.4	0.01	0.8112774018329691
5	2	1991	-0.96	2.26	0.17	0.7218825553067175
6	2	1991	-5.6	0.69	0.57	0.8652160284958641
7	2	1991	-5.99	-2.27	5.1	0.4901817614652715
8	2	1991	-4.36	-1.74	4.69	0.3399606056409768
9	2	1991	-4.27	-1.41	1.57	0.7104597585338386
10	2	1991	-4.39	0.04	2.01	0.7554305792022141
11	2	1991	-1.95	1.42	1.71	0.6337874065840874
12	2	1991	-2.39	1.89	1.1	0.8546298807575805
13	2	1991	-2.54	2.14	0.15	1.0926738163599201
14	2	1991	-3.06	2.15	0.08	1.015947599660882
15	2	1991	-0.29	4.06	6.05	0.9405450089905116
16	2	1991	-0.02	4.84	0.14	1.1407024822861485
17	2	1991	0.42	4.34	0.23	0.8924224367917883
18	2	1991	-0.15	4.48	0.38	0.6827549664270771
19	2	1991	-1.02	4.73	0.02	1.1648826070940437
20	2	1991	-0.4	6.59	0.87	0.8876060203307548
21	2	1991	2.95	5.58	3.06	0.49924114962934985
22	2	1991	1.05	7.73	3.33	1.1514999682620441
23	2	1991	7.94	11.27	0.51	0.8588286535706802
24	2	1991	6.58	11.18	0.1	1.0794338869606799
25	2	1991	4.35	10.12	0.22	1.577612151136018
26	2	1991	4.55	6.64	0.22	0.576635687463398
27	2	1991	3.95	5.76	6.88	0.47380867997171716
28	2	1991	3.15	8.05	2.3	0.7684350300522149
1	3	1991	1.29	6.38	0.11	0.9918721868312881
2	3	1991	1.58	5.65	0.54	1.0275101291629154
3	3	1991	2.45	9.75	0.39	1.5922906267478192
4	3	1991	2.18	7.76	0.98	0.829576490739796
5	3	1991	6.83	9.95	4.75	0.8465774144677235
6	3	1991	7.08	11.44	0.51	0.9704868419004944
7	3	1991	6.63	12.23	3.07	1.0768673531841286
8	3	1991	7.79	12.76	2.64	1.4250711625200168
9	3	1991	6.47	10.41	0.29	1.2321818343119748
10	3	1991	7.02	9.56	0.74	0.9955384353105359
11	3	1991	6.59	11.23	0.39	1.0739610677741596
12	3	1991	6.67	12.49	0.12	1.249138785899906
13	3	1991	5.19	13.88	0.01	2.3783750987018157
14	3	1991	5.33	14.5	0.23	1.8715408369178301
15	3	1991	5.27	11.03	0.36	1.260997636270695
16	3	1991	7.36	12.24	4.68	1.365751559726667
17	3	1991	6.73	10.99	0.64	1.309524508706591
18	3	1991	5.83	11.83	3.93	1.842269977227346
19	3	1991	9.04	14.02	0.87	1.7296799848004238
20	3	1991	9.18	12.48	1.48	1.3040114136630614
21	3	1991	4.99	11.69	0.15	1.9912672597117536
22	3	1991	3.17	8.26	2.26	1.4290915351668074
23	3	1991	2.21	7.46	0.77	1.7178394509426473
24	3	1991	1.59	9.74	0.19	1.6257795736648406
25	3	1991	3.54	8.87	0.03	2.0539160020450757
26	3	1991	5.76	8.76	0.01	0.9993946519028782
27	3	1991	4.02	10.19	0.0	2.5303513914657105
28	3	1991	3.63	11.33	0.05	1.8830754318136846
29	3	1991	2.03	9.62	0.14	2.083662045601457
30	3	1991	1.98	12.87	0.07	2.6718183721867144
31	3	1991	5.99	12.43	0.11	1.493165857159954
1	4	1991	6.88	11.51	1.27	1.153249939636023
2	4	1991	8.39	11.17	2.4	1.1093754517729544
3	4	1991	5.53	11.09	0.25	2.3471407866264093
4	4	1991	5.18	8.58	3.83	0.9521970548959742
5	4	1991	5.3	11.3	0.64	1.6284491926735214
6	4	1991	3.8	9.54	3.18	1.8657891195688612
7	4	1991	6.42	12.0	0.88	1.7881428219330362
8	4	1991	5.9	13.82	0.14	2.2237193869715
9	4	1991	5.08	14.45	0.02	2.602726798893714
10	4	1991	5.99	14.7	0.07	2.6360602485919853
11	4	1991	7.9	17.21	0.0	3.3316092647512257
12	4	1991	6.34	16.45	0.02	3.5765878681170427
13	4	1991	7.04	16.89	0.13	3.2180167970398164
14	4	1991	5.44	12.09	0.08	2.603553180766702
15	4	1991	4.58	13.8	0.15	2.493835902139759
16	4	1991	3.15	10.26	0.14	1.930819976386261
17	4	1991	2.69	8.3	0.42	1.9230896107336073
18	4	1991	1.47	8.51	1.61	1.6583645087668701
19	4	1991	2.2	7.85	3.3	1.9591450944999502
20	4	1991	1.76	6.07	1.39	1.9174752624523
21	4	1991	0.58	9.84	1.73	2.0632528609512875
22	4	1991	2.81	8.64	0.72	2.1861677363960443
23	4	1991	0.97	11.66	0.05	2.877303413388251
24	4	1991	5.17	10.66	1.9	2.0644745819119783
25	4	1991	4.38	10.03	0.07	3.069256789204156
26	4	1991	5.46	12.41	0.01	3.3378796318644963
27	4	1991	3.25	11.86	0.01	3.4871916108799708
28	4	1991	2.29	12.06	0.02	3.207388690897396
29	4	1991	3.44	11.08	8.74	2.349196985612169
30	4	1991	5.43	9.24	16.45	1.4120165541194032
1	5	1991	4.77	10.37	0.97	1.5087277680114426
2	5	1991	3.93	11.53	1.3	1.9085505849275055
3	5	1991	4.4	9.8	0.53	2.393858631172482
4	5	1991	4.22	10.58	4.57	2.037049447672271
5	5	1991	5.26	8.76	7.87	1.3596090435571373
6	5	1991	3.33	11.93	0.08	2.5195487908665495
7	5	1991	2.79	11.48	0.41	2.277559451293543
8	5	1991	3.51	12.2	0.2	3.4309013249128095
9	5	1991	2.3	12.01	0.02	3.5403496702747566
10	5	1991	3.18	14.1	0.02	3.8225528039242476
11	5	1991	5.51	13.91	0.22	2.5568974034813445
12	5	1991	5.15	15.5	0.01	4.014579929290226
13	5	1991	9.58	17.01	0.71	2.7922804782375192
14	5	1991	6.51	13.01	0.23	3.651591881852238
15	5	1991	4.9	11.66	1.08	2.099981240846799
16	5	1991	6.1	12.19	0.57	2.5651249146897506
17	5	1991	4.65	13.16	0.14	3.518482256552074
18	5	1991	4.06	11.77	0.15	2.257249892102597
19	5	1991	8.29	15.49	0.12	2.4464789092214243
20	5	1991	9.79	18.9	0.07	4.057483739840783
21	5	1991	11.08	20.19	0.03	4.380129024687719
22	5	1991	10.4	17.58	0.02	4.355108523140715
23	5	1991	6.64	16.4	0.02	4.2339523094375515
24	5	1991	6.18	14.35	0.32	2.3488946005593005
25	5	1991	8.19	17.3	0.3	2.913477349244317
26	5	1991	8.09	13.73	0.56	2.3715476207522483
27	5	1991	7.03	16.71	0.28	3.1632476431298655
28	5	1991	8.87	13.83	0.25	1.8143235807323408
29	5	1991	7.19	14.87	0.08	2.229296451683621
30	5	1991	8.06	15.5	0.1	2.267436012303752
31	5	1991	6.85	15.7	0.07	2.0832387205851894
1	6	1991	7.62	13.14	0.04	2.6410761964877305
2	6	1991	7.18	12.44	1.81	1.878104512043202
3	6	1991	5.87	11.8	0.79	2.661706385506127
4	6	1991	4.19	12.72	1.44	3.3903859124897693
5	6	1991	6.78	13.81	1.2	3.2600874240384674
6	6	1991	9.52	15.05	3.54	2.213462133465982
7	6	1991	9.37	13.96	3.18	2.4758214170469377
8	6	1991	9.44	13.96	3.48	2.8292045766876943
9	6	1991	11.42	17.42	1.7	3.8122754538219388
10	6	1991	10.17	17.12	2.26	3.0466899966844623
11	6	1991	8.12	14.85	0.7	2.6584466926981074
12	6	1991	11.17	17.78	2.48	3.367311040281362
13	6	1991	10.44	16.09	1.52	3.41628726626975
14	6	1991	9.17	17.23	0.75	3.4946900625674875
15	6	1991	8.56	15.97	9.15	1.7508397940614184
16	6	1991	7.94	13.87	1.26	2.854233713896843
17	6	1991	8.62	14.9	1.8	3.0221664705125644
18	6	1991	8.24	14.32	2.34	2.627533941774809
19	6	1991	8.93	14.33	4.22	2.348443884734275
20	6	1991	8.06	16.09	0.23	3.574965183061219
21	6	1991	9.69	18.34	0.55	2.6483639699486625
22	6	1991	10.96	17.69	0.26	3.6789328079999777
23	6	1991	11.28	15.56	8.29	2.538191018880135
24	6	1991	11.44	16.69	2.12	2.575842553118017
25	6	1991	12.15	20.2	6.95	1.9047781198525757
26	6	1991	12.05	17.83	2.26	3.5384276562611787
27	6	1991	10.55	16.58	5.69	2.7693384989977616
28	6	1991	9.27	16.36	1.4	3.396473512659075
29	6	1991	8.37	19.04	0.03	4.697443286146816
30	6	1991	11.68	20.4	2.11	3.5980437883487832
1	7	1991	12.83	17.78	1.43	2.8962297568013864
2	7	1991	10.53	17.12	6.32	2.955665445716418
3	7	1991	12.78	19.82	0.22	3.1004689200809166
4	7	1991	13.77	20.81	0.08	4.942614375764588
5	7	1991	14.31	21.97	0.02	5.296481519473922
6	7	1991	16.33	21.92	0.15	4.717719163048882
7	7	1991	13.83	20.87	3.57	3.8310604655206126
8	7	1991	13.89	21.01	1.5	3.3551955964372104
9	7	1991	13.56	21.23	0.08	3.847788603091712
10	7	1991	12.86	20.26	0.0	4.349633055672801
11	7	1991	14.95	25.22	0.01	5.813578142535418
12	7	1991	12.65	20.05	0.11	3.6981601018509527
13	7	1991	14.63	20.35	3.34	2.632851805314236
14	7	1991	13.76	21.48	0.12	5.0013794391300035
15	7	1991	13.62	21.74	0.28	3.174719029358472
16	7	1991	12.77	19.65	1.62	3.84943802985554
17	7	1991	12.0	19.48	0.14	3.727403889509972
18	7	1991	13.19	21.77	11.75	2.7163511721468163
19	7	1991	13.5	19.89	0.32	2.6754595003397257
20	7	1991	13.45	20.63	0.67	3.446971087012713
21	7	1991	12.39	21.05	0.03	3.9304637177310218
22	7	1991	13.14	20.23	0.01	3.7100133542252163
23	7	1991	14.29	23.26	0.05	3.9712815789204323
24	7	1991	13.42	18.25	9.3	1.6877136308888452
25	7	1991	11.7	19.55	1.0	3.9483840386235025
26	7	1991	11.42	20.87	0.81	3.0250304405564075
27	7	1991	13.73	22.3	0.02	4.201506614660254
28	7	1991	13.3	21.16	0.06	4.4881960431879655
29	7	1991	15.47	23.09	0.0	5.2542813467429
30	7	1991	16.12	24.37	1.1	4.303852789221822
31	7	1991	15.11	20.43	5.59	3.235618889222633
1	8	1991	14.32	22.23	2.02	3.6661961277905446
2	8	1991	13.85	23.25	0.08	4.467197095262599
3	8	1991	14.13	23.07	0.24	4.792495242899088
4	8	1991	16.11	23.27	0.17	4.366688267216944
5	8	1991	14.76	22.25	0.03	3.120660618809125
6	8	1991	15.86	22.33	1.04	2.6103685181208647
7	8	1991	14.95	20.32	3.78	1.9153308922144863
8	8	1991	14.34	21.4	0.56	4.242163098958752
9	8	1991	12.73	22.76	0.05	3.688744936327052
10	8	1991	16.44	25.61	0.09	3.5690456880657617
11	8	1991	15.23	21.65	1.18	2.0082862178735232
12	8	1991	12.48	21.19	0.01	4.242207913747277
13	8	1991	15.03	21.6	0.01	4.032401021525024
14	8	1991	14.63	23.24	0.14	3.9126514299628203
15	8	1991	14.69	24.4	0.04	4.999077539296947
16	8	1991	15.12	22.4	0.04	4.343772582147867
17	8	1991	12.99	21.82	0.6	3.6310345000691813
18	8	1991	10.81	20.42	0.02	3.7015569390381566
19	8	1991	10.85	23.05	0.03	4.15748362595486
20	8	1991	14.7	22.76	0.1	4.351931705775156
21	8	1991	13.65	22.47	0.05	4.042007183453022
22	8	1991	15.3	23.57	3.08	3.092302126796112
23	8	1991	13.83	19.87	1.06	2.2344619013246128
24	8	1991	13.53	22.05	0.12	4.020614211540611
25	8	1991	14.42	23.03	0.01	3.1476207664951943
26	8	1991	14.5	23.69	0.03	4.321754495396391
27	8	1991	14.45	22.37	0.02	3.525729533801508
28	8	1991	13.33	20.61	0.05	3.076165482126798
29	8	1991	12.16	19.55	0.01	3.996311764502811
30	8	1991	13.03	21.43	0.05	4.1981883858791775
31	8	1991	14.74	22.0	0.03	4.188016277470251
1	9	1991	14.59	23.35	0.05	4.455958232234515
2	9	1991	16.12	24.31	0.05	3.8539441234377145
3	9	1991	14.48	24.03	0.13	3.715012099057362
4	9	1991	14.95	23.05	0.13	3.4528439378271463
5	9	1991	14.01	22.58	0.05	3.5456114310003644
6	9	1991	11.58	18.69	0.03	2.931080959863759
7	9	1991	10.75	19.71	0.0	3.1816075590484614
8	9	1991	10.89	21.51	0.05	3.761988482850843
9	9	1991	13.05	19.97	0.01	3.480867588718267
10	9	1991	13.45	21.57	0.02	3.5495669239425065
11	9	1991	10.8	16.7	0.44	1.367290925246163
12	9	1991	9.41	17.81	0.0	3.162885713029003
13	9	1991	11.61	19.51	0.0	3.444758000666588
14	9	1991	13.41	22.73	0.01	3.4752187004490085
15	9	1991	14.44	20.84	1.0	2.988736739433203
16	9	1991	13.91	22.05	3.07	1.9317818515252227
17	9	1991	12.02	20.97	0.01	2.9832979460330478
18	9	1991	11.4	21.73	0.41	2.3978828387375715
19	9	1991	8.94	17.93	0.01	2.756718657057424
20	9	1991	10.11	18.35	0.01	2.99432602944821
21	9	1991	11.65	21.96	0.0	3.1458683933297387
22	9	1991	11.96	18.4	6.23	2.57104212798259
23	9	1991	11.5	19.73	0.51	1.6484573311357664
24	9	1991	12.97	19.83	1.29	1.5946602101640075
25	9	1991	11.85	17.1	3.09	1.7032632905766663
26	9	1991	12.01	16.54	5.11	1.8486879810996824
27	9	1991	10.48	13.35	6.55	0.8974191057369569
28	9	1991	9.15	14.98	13.46	1.6409018081284503
29	9	1991	11.44	15.73	12.39	1.3590906593463439
30	9	1991	7.92	13.96	1.03	1.8564594725164982
1	10	1991	10.33	16.06	1.24	2.027955927063302
2	10	1991	9.19	16.17	0.05	2.1709344233629553
3	10	1991	9.18	18.02	0.55	1.6782517030406172
4	10	1991	7.74	15.06	0.06	2.230690557666935
5	10	1991	7.58	15.93	4.43	1.512825834715251
6	10	1991	6.94	13.83	0.05	2.045748764336132
7	10	1991	6.88	14.44	0.0	2.0804116724716923
8	10	1991	10.25	14.88	0.09	1.6481865639321052
9	10	1991	11.36	17.23	0.11	1.6120994215664517
10	10	1991	11.46	18.44	0.1	2.0220140930597528
