Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1979	15.0	20.0	0.0	1.5
2	1	1979	8.0	15.0	0.0	1.3
3	1	1979	3.0	12.0	0.0	1.2
4	1	1979	5.0	19.0	0.0	1.8
5	1	1979	10.0	17.0	0.0	1.4
6	1	1979	8.0	22.0	0.0	1.8
7	1	1979	8.0	16.0	0.0	0.7
8	1	1979	10.0	17.0	0.0	1.0
9	1	1979	12.0	19.0	0.0	1.3
10	1	1979	10.0	16.0	1.6	1.2
11	1	1979	7.0	18.0	0.0	1.5
12	1	1979	9.0	15.0	1.2	1.0
13	1	1979	7.0	13.0	16.6	0.9
14	1	1979	4.0	13.0	0.0	1.2
15	1	1979	5.0	10.0	0.8	0.8
16	1	1979	4.0	11.0	0.8	1.0
17	1	1979	2.0	10.0	10.6	0.9
18	1	1979	-2.0	11.0	0.0	0.8
19	1	1979	4.0	17.0	0.0	1.2
20	1	1979	7.0	17.0	0.0	1.0
21	1	1979	7.0	19.0	0.0	1.2
22	1	1979	14.0	19.0	0.0	1.3
23	1	1979	10.0	18.0	1.2	1.2
24	1	1979	11.0	19.0	0.2	1.5
25	1	1979	12.0	19.0	0.0	1.5
26	1	1979	12.0	19.0	0.5	1.6
27	1	1979	9.0	22.0	0.0	1.9
28	1	1979	15.0	25.0	0.0	2.5
29	1	1979	11.0	16.0	4.2	1.4
30	1	1979	7.0	17.0	0.0	1.8
31	1	1979	8.0	15.0	1.2	1.5
1	2	1979	4.0	16.0	0.0	1.4
2	2	1979	11.0	20.0	0.0	2.0
3	2	1979	11.0	20.0	0.0	1.6
4	2	1979	13.0	19.0	6.2	1.5
5	2	1979	13.0	20.0	0.0	1.6
6	2	1979	13.0	20.0	0.0	1.7
7	2	1979	11.0	21.0	0.0	1.9
8	2	1979	13.0	19.0	0.0	1.8
9	2	1979	11.0	26.0	0.0	2.8
10	2	1979	12.0	26.0	0.0	2.8
11	2	1979	13.0	24.0	0.0	2.4
12	2	1979	11.0	17.0	0.0	1.7
13	2	1979	10.0	17.0	13.4	1.9
14	2	1979	8.0	17.0	8.2	1.9
15	2	1979	10.0	16.0	0.0	1.8
16	2	1979	7.0	15.0	0.5	1.6
17	2	1979	5.0	14.0	2.4	1.6
18	2	1979	7.0	11.0	5.4	1.1
19	2	1979	7.0	14.0	16.3	1.7
20	2	1979	7.0	14.0	1.4	1.7
21	2	1979	8.0	14.0	2.0	1.7
22	2	1979	6.0	16.0	0.5	1.8
23	2	1979	8.0	15.0	0.0	1.8
24	2	1979	6.0	11.0	1.0	1.3
25	2	1979	7.0	12.0	20.0	1.1
26	2	1979	6.0	16.0	16.4	1.8
27	2	1979	6.0	10.0	15.0	1.1
28	2	1979	5.0	13.0	4.0	1.8
1	3	1979	4.0	16.0	0.0	2.0
2	3	1979	7.0	17.0	0.0	2.2
3	3	1979	8.0	14.0	2.7	1.8
4	3	1979	7.0	14.0	3.6	1.6
5	3	1979	9.0	15.0	5.0	1.6
6	3	1979	8.0	17.0	0.0	2.1
7	3	1979	8.0	20.0	0.0	2.6
8	3	1979	7.0	21.0	0.0	2.7
9	3	1979	8.0	19.0	0.0	2.5
10	3	1979	9.0	19.0	0.0	2.5
11	3	1979	11.0	20.0	0.0	2.6
12	3	1979	9.0	20.0	0.0	2.7
13	3	1979	9.0	21.0	0.0	2.9
14	3	1979	9.0	25.0	0.0	3.4
15	3	1979	11.0	19.0	0.0	2.3
16	3	1979	8.0	16.0	16.7	2.4
17	3	1979	4.0	21.0	0.0	3.1
18	3	1979	11.0	20.0	1.2	2.9
19	3	1979	9.0	21.0	0.7	2.8
20	3	1979	10.0	19.0	0.0	2.6
21	3	1979	9.0	23.0	0.0	3.5
22	3	1979	9.0	19.0	0.0	2.8
23	3	1979	7.0	20.0	4.7	3.1
24	3	1979	7.0	20.0	0.0	2.9
25	3	1979	8.0	23.0	0.0	3.4
