AquaCrop 6.1 (May 2018) - Output created on (date) : 26/10/2020   at (time) : 10:15:00
Simulation run

    RunNr     Day1   Month1    Year1     Rain      ETo       GD     CO2      Irri   Infilt   Runoff    Drain   Upflow        E     E/Ex       Tr      TrW   Tr/Trx    SaltIn   SaltOut    SaltUp  SaltProf     Cycle   SaltStr  FertStr  WeedStr  TempStr   ExpStr   StoStr  BioMass  Brelative   HI     Yield     WPet     DayN   MonthN    YearN
                                           mm       mm    °C.day    ppm        mm       mm       mm       mm       mm       mm        %       mm       mm        %    ton/ha    ton/ha    ton/ha    ton/ha      days       %        %        %        %        %        %    ton/ha        %       %    ton/ha    kg/m3
        1        1       10     1979      377      306     2412   337.79        0      352       25      176       66       50       54      194      194      100     0.000     0.040     0.631     0.591      167        0        0        0        6        0        0    17.654       99     48.0    8.476     3.50       23        3     1980
        2        1       10     1980      398      359     2408   339.43        0      377       21      187       70       55       52      219      219      100     0.000     0.053     0.672     0.618      173        0        0        0       12        0        0    17.112       99     48.0    8.216     3.02       29        3     1981
        3        1       10     1981      245      329     2408   340.78        0      244        1       72       85       51       47      210      210      100     0.000     0.043     0.820     0.777      157        0        0        0        5        0        0    16.845       99     48.0    8.088     3.12       14        3     1982
        4        1       10     1982      421      306     2400   342.25        0      402       19      229       66       55       58      189      189      100     0.000     0.030     0.630     0.600      168        0        0        0        8        0        0    17.483       99     48.0    8.394     3.45       23        3     1983
        5        1       10     1983      343      307     2401   343.85        0      340        3      150       60       63       75      192      192      100     0.000     0.023     0.578     0.555      170        0        0        0        9        0        0    17.423       99     48.0    8.365     3.30       25        3     1984
        6        1       10     1984      494      328     2400   345.38        0      467       27      258       63       64       64      208      208      100     0.000     0.113     0.605     0.492      164        0        0        0        8        0        0    16.932       99     48.0    8.130     2.99       20        3     1985
        7        1       10     1985      177      314     2400   346.77        0      177        0        0       67       51       56      208      208      100     0.000     0.000     0.642     0.642      154        0        0        0        6        0        0    16.666       99     48.0    8.002     3.09       10        3     1986
        8        1       10     1986      499      304     2404   348.31        0      478       21      282       59       65       75      193      193      100     0.000     0.064     0.566     0.501      168        0        0        0        9        0        0    17.646       99     48.0    8.472     3.31       24        3     1987
        9        1       10     1987      131      333     2409   350.38        0      130        1        0      125       44       44      222      222      100     0.000     0.000     1.201     1.201      151        0        0        0        4        0        0    16.592       99     48.0    7.967     3.01        6        3     1988
       10        1       10     1988      147      335     2400   351.85        0      147        0        0       79       50       50      213      213      100     0.000     0.000     0.759     0.759      161        0        0        0        7        0        0    17.493       99     48.0    8.399     3.20       16        3     1989
       11        1       10     1989      363      287     2410   353.25        0      339       24      176       74       61       69      189      189      100     0.000     0.049     0.715     0.666      150        0        0        0        2        0        0    16.933       99     48.0    8.130     3.27        7        3     1990
       12        1       10     1990      600      314     2413   355.00        0      556       44      361       63       60       61      199      199      100     0.000     0.159     0.610     0.451      160        0        0        0        7        0        0    17.540       99     48.0    8.422     3.27       16        3     1991
       13        1       10     1991      385      331     2401   356.03        0      375       10      183       74       68       69      206      206      100     0.000     0.056     0.713     0.656      171        0        0        0        8        0        0    18.518       99     48.0    8.891     3.26       26        3     1992
       14        1       10     1992      279      327     2402   356.27        0      275        4      102       81       61       59      199      199      100     0.000     0.032     0.776     0.744      166        0        0        0       10        0        0    17.679       99     48.0    8.488     3.28       23        3     1993
       15        1       10     1993      184      324     2405   357.47        0      183        1       22       89       53       52      211      211      100     0.000     0.011     0.857     0.846      152        0        0        0        4        0        0    17.408       99     48.0    8.358     3.17        9        3     1994
       16        1       10     1994      230      306     2414   359.82        0      221        9       69       93       50       58      207      207      100     0.000     0.021     0.896     0.875      146        0        0        0        5        0        0    16.392       99     48.0    7.870     3.09        2        3     1995
       17        1       10     1995      423      300     2403   361.72        0      379       44      173       54       55       63      207      207      100     0.000     0.102     0.523     0.421      149        0        0        0        3        0        0    16.965       99     48.0    8.146     3.13        4        3     1996
       18        1       10     1996      209      335     2402   363.17        0      207        2       32       97       56       56      230      230      100     0.000     0.009     0.928     0.920      148        0        0        0        3        0        0    17.160       99     48.0    8.239     2.89        5        3     1997
       19        1       10     1997      308      308     2401   365.22        0      303        5       90       62       74       81      206      206      100     0.000     0.010     0.594     0.584      150        0        0        0        3        0        0    17.595       99     48.0    8.448     3.04        6        3     1998
       20        1       10     1998      371      330     2405   367.54        0      343       28      149       70       56       59      217      217      100     0.000     0.048     0.668     0.620      161        0        0        0        8        0        0    18.182       99     48.0    8.730     3.22       18        3     1999
       21        1       10     1999      227      334     2409   368.97        0      222        5       55       79       44       43      217      217      100     0.000     0.005     0.755     0.750      154        0        0        0        5        0        0    17.711       99     48.0    8.504     3.26        9        3     2000
       22        1       10     2000      260      326     2413   370.35        0      257        4       64       80       60       62      218      218      100     0.000     0.019     0.773     0.754      147        0        0        0        3        0        0    17.298       99     48.0    8.305     3.00        4        3     2001
       23        1       10     2001      106      322     2407   372.21        0      106        0        0       95       32       33      211      211      100     0.000     0.000     0.912     0.912      148        0        0        0        5        0        0    17.564       99     48.0    8.433     3.47        4        3     2002
